dataset,date,rows,timestamp
taxi,2022-04-01,19456,2025-11-04T20:15:08Z
taxi,2022-04-02,14858,2025-11-04T20:17:23Z
taxi,2022-04-03,12040,2025-11-04T20:18:53Z
taxi,2022-04-04,16373,2025-11-04T20:21:08Z
taxi,2022-04-05,18334,2025-11-04T20:23:06Z
taxi,2022-04-06,19217,2025-11-04T20:25:06Z
taxi,2022-04-07,21091,2025-11-04T20:27:12Z
taxi,2022-04-08,20837,2025-11-04T20:29:14Z
taxi,2022-04-09,15274,2025-11-04T20:30:50Z
taxi,2022-04-10,13954,2025-11-04T20:32:42Z
taxi,2022-04-11,15525,2025-11-04T20:34:35Z
taxi,2022-04-12,16685,2025-11-04T20:36:10Z
taxi,2022-04-13,17580,2025-11-04T20:38:36Z
taxi,2022-04-14,19277,2025-11-04T20:40:53Z
taxi,2022-04-15,18455,2025-11-04T20:42:25Z
taxi,2022-04-16,15177,2025-11-04T20:44:03Z
taxi,2022-04-17,12841,2025-11-04T20:45:42Z
taxi,2022-04-18,16260,2025-11-04T20:47:39Z
taxi,2022-04-19,17217,2025-11-04T20:49:41Z
taxi,2022-04-20,18172,2025-11-04T20:52:14Z
taxi,2022-04-21,18144,2025-11-04T20:54:13Z
taxi,2022-04-22,19205,2025-11-04T20:56:01Z
taxi,2022-04-23,15175,2025-11-04T20:58:11Z
taxi,2022-04-24,14027,2025-11-04T21:00:10Z
taxi,2022-04-25,18411,2025-11-04T21:02:31Z
taxi,2022-04-26,19032,2025-11-04T21:04:40Z
taxi,2022-04-27,20590,2025-11-04T21:06:51Z
taxi,2022-04-28,20811,2025-11-04T21:09:41Z
taxi,2022-04-29,21688,2025-11-04T21:11:52Z
taxi,2022-04-30,16036,2025-11-04T21:13:31Z
taxi,2022-05-01,14081,2025-11-04T21:15:51Z
taxi,2022-05-02,16389,2025-11-04T21:18:02Z
taxi,2022-05-03,19571,2025-11-04T21:20:10Z
taxi,2022-05-04,20080,2025-11-04T21:22:11Z
taxi,2022-05-05,21237,2025-11-04T21:24:00Z
taxi,2022-05-06,21650,2025-11-04T21:26:16Z
taxi,2022-05-07,16596,2025-11-04T21:28:13Z
taxi,2022-05-08,14671,2025-11-04T21:29:54Z
taxi,2022-05-09,18346,2025-11-04T21:32:03Z
taxi,2022-05-10,20611,2025-11-04T21:34:26Z
taxi,2022-05-11,21745,2025-11-04T21:37:00Z
taxi,2022-05-12,21756,2025-11-04T21:39:10Z
taxi,2022-05-13,21756,2025-11-04T21:41:28Z
taxi,2022-05-14,17219,2025-11-04T21:43:41Z
taxi,2022-05-15,15011,2025-11-04T21:45:19Z
taxi,2022-05-16,19358,2025-11-04T21:47:25Z
taxi,2022-05-17,20358,2025-11-04T21:49:29Z
taxi,2022-05-18,21755,2025-11-04T21:51:35Z
taxi,2022-05-19,22848,2025-11-04T21:53:46Z
taxi,2022-05-20,24274,2025-11-04T21:55:47Z
taxi,2022-05-21,20065,2025-11-04T21:57:41Z
taxi,2022-05-22,19172,2025-11-04T21:59:22Z
taxi,2022-05-23,23400,2025-11-04T22:01:30Z
taxi,2022-05-24,21087,2025-11-04T22:03:38Z
taxi,2022-05-25,20088,2025-11-04T22:05:31Z
taxi,2022-05-26,20055,2025-11-04T22:07:37Z
taxi,2022-05-27,19571,2025-11-04T22:10:06Z
taxi,2022-05-28,15875,2025-11-04T22:12:13Z
taxi,2022-05-29,14927,2025-11-04T22:13:56Z
taxi,2022-05-30,14537,2025-11-04T22:15:38Z
taxi,2022-05-31,18102,2025-11-04T22:17:43Z
taxi,2022-06-01,20447,2025-11-04T22:19:30Z
taxi,2022-06-02,23813,2025-11-04T22:21:44Z
taxi,2022-06-03,26650,2025-11-04T22:23:45Z
taxi,2022-06-04,21932,2025-11-04T22:25:24Z
taxi,2022-06-05,19452,2025-11-04T22:27:04Z
taxi,2022-06-06,22220,2025-11-04T22:29:07Z
taxi,2022-06-07,23127,2025-11-04T22:31:03Z
taxi,2022-06-08,22305,2025-11-04T22:33:14Z
taxi,2022-06-09,22039,2025-11-04T22:35:00Z
taxi,2022-06-10,22100,2025-11-04T22:36:46Z
taxi,2022-06-11,18813,2025-11-04T22:38:45Z
taxi,2022-06-12,18866,2025-11-04T22:40:43Z
taxi,2022-06-13,22757,2025-11-04T22:42:32Z
taxi,2022-06-14,24588,2025-11-04T22:44:38Z
taxi,2022-06-15,23162,2025-11-04T22:46:36Z
taxi,2022-06-16,22568,2025-11-04T22:49:04Z
taxi,2022-06-17,22258,2025-11-04T22:51:10Z
taxi,2022-06-18,18016,2025-11-04T22:52:49Z
taxi,2022-06-19,16266,2025-11-04T22:54:26Z
taxi,2022-06-20,18963,2025-11-04T22:56:41Z
taxi,2022-06-21,22041,2025-11-04T22:58:32Z
taxi,2022-06-22,23538,2025-11-04T23:00:35Z
taxi,2022-06-23,24530,2025-11-04T23:03:03Z
taxi,2022-06-24,22679,2025-11-04T23:05:19Z
taxi,2022-06-25,17888,2025-11-04T23:07:39Z
taxi,2022-06-26,17079,2025-11-04T23:09:53Z
taxi,2022-06-27,19162,2025-11-04T23:12:10Z
taxi,2022-06-28,20624,2025-11-04T23:14:19Z
taxi,2022-06-29,20429,2025-11-04T23:16:22Z
taxi,2022-06-30,20957,2025-11-04T23:18:33Z
tnp,2022-04-01,219908,2025-11-04T23:22:14Z
tnp,2022-04-02,255977,2025-11-04T23:24:56Z
tnp,2022-04-03,176904,2025-11-04T23:27:09Z
tnp,2022-04-04,145629,2025-11-04T23:29:31Z
tnp,2022-04-05,154268,2025-11-04T23:31:46Z
tnp,2022-04-06,168195,2025-11-04T23:34:14Z
tnp,2022-04-07,187060,2025-11-04T23:36:37Z
tnp,2022-04-08,224381,2025-11-04T23:39:16Z
tnp,2022-04-09,247950,2025-11-04T23:41:40Z
tnp,2022-04-10,181242,2025-11-04T23:44:27Z
tnp,2022-04-11,141067,2025-11-04T23:46:55Z
tnp,2022-04-12,147774,2025-11-04T23:49:00Z
tnp,2022-04-13,162541,2025-11-04T23:51:41Z
tnp,2022-04-14,175449,2025-11-04T23:54:19Z
tnp,2022-04-15,207135,2025-11-04T23:56:36Z
tnp,2022-04-16,223844,2025-11-04T23:59:07Z
tnp,2022-04-17,156437,2025-11-05T00:02:04Z
tnp,2022-04-18,147874,2025-11-05T00:04:05Z
tnp,2022-04-19,155224,2025-11-05T00:06:13Z
tnp,2022-04-20,171590,2025-11-05T00:09:28Z
tnp,2022-04-21,179566,2025-11-05T00:11:56Z
tnp,2022-04-22,225993,2025-11-05T00:14:21Z
tnp,2022-04-23,243100,2025-11-05T00:17:05Z
tnp,2022-04-24,179036,2025-11-05T00:19:29Z
tnp,2022-04-25,150541,2025-11-05T00:21:32Z
tnp,2022-04-26,157100,2025-11-05T00:23:50Z
tnp,2022-04-27,174327,2025-11-05T00:26:32Z
tnp,2022-04-28,189976,2025-11-05T00:29:12Z
tnp,2022-04-29,223467,2025-11-05T00:31:48Z
tnp,2022-04-30,252805,2025-11-05T00:34:39Z
tnp,2022-05-01,179649,2025-11-05T00:38:48Z
tnp,2022-05-02,148711,2025-11-05T00:43:05Z
tnp,2022-05-03,166329,2025-11-05T00:46:19Z
tnp,2022-05-04,166820,2025-11-05T00:48:54Z
tnp,2022-05-05,191637,2025-11-05T00:51:17Z
tnp,2022-05-06,223904,2025-11-05T00:53:35Z
tnp,2022-05-07,236734,2025-11-05T00:55:57Z
tnp,2022-05-08,169719,2025-11-05T00:58:37Z
tnp,2022-05-09,149476,2025-11-05T01:00:16Z
tnp,2022-05-10,157579,2025-11-05T01:02:41Z
tnp,2022-05-11,168181,2025-11-05T01:05:26Z
tnp,2022-05-12,180053,2025-11-05T01:07:22Z
tnp,2022-05-13,216242,2025-11-05T01:09:56Z
tnp,2022-05-14,239312,2025-11-05T01:12:36Z
tnp,2022-05-15,180747,2025-11-05T01:14:55Z
tnp,2022-05-16,148047,2025-11-05T01:17:20Z
