week_start,records_count,timestamp
2023-05-21,0,2025-11-05T16:09:35Z [FAILED]
2023-05-28,0,2025-11-05T16:11:27Z [FAILED]
2023-06-04,0,2025-11-05T16:12:51Z [FAILED]
2023-06-11,0,2025-11-05T16:14:41Z [FAILED]
2023-06-18,0,2025-11-05T16:16:43Z [FAILED]
2023-06-25,0,2025-11-05T16:18:32Z [FAILED]
2023-07-02,0,2025-11-05T16:20:01Z [FAILED]
2023-07-09,0,2025-11-05T16:21:37Z [FAILED]
2023-07-16,0,2025-11-05T16:22:53Z [FAILED]
2023-07-23,0,2025-11-05T16:24:58Z [FAILED]
2023-07-30,0,2025-11-05T16:26:40Z [FAILED]
2023-08-06,0,2025-11-05T16:28:19Z [FAILED]
2023-08-13,0,2025-11-05T16:29:43Z [FAILED]
2023-08-20,0,2025-11-05T16:31:20Z [FAILED]
2023-08-27,0,2025-11-05T16:33:01Z [FAILED]
2023-09-03,0,2025-11-05T16:34:30Z [FAILED]
2023-09-10,0,2025-11-05T16:35:58Z [FAILED]
2023-09-17,0,2025-11-05T16:37:16Z [FAILED]
2023-09-24,0,2025-11-05T16:38:27Z [FAILED]
2023-10-01,0,2025-11-05T16:39:57Z [FAILED]
2023-10-08,0,2025-11-05T16:41:59Z [FAILED]
2023-10-15,0,2025-11-05T16:43:29Z [FAILED]
2023-10-22,0,2025-11-05T16:45:20Z [FAILED]
2023-10-29,0,2025-11-05T16:47:05Z [FAILED]
2023-11-05,0,2025-11-05T16:48:45Z [FAILED]
2023-11-12,0,2025-11-05T16:50:23Z [FAILED]
2023-11-19,0,2025-11-05T16:52:04Z [FAILED]
2023-11-26,0,2025-11-05T16:53:28Z [FAILED]
