date,permits_count,timestamp
2021-09-04,14,2025-11-05T17:26:16Z [SKIPPED]
2021-09-05,6,2025-11-05T17:26:20Z [SKIPPED]
2021-09-06,13,2025-11-05T17:26:23Z [SKIPPED]
2021-09-07,178,2025-11-05T17:26:27Z [SKIPPED]
2021-09-08,199,2025-11-05T17:26:30Z [SKIPPED]
2021-09-09,175,2025-11-05T17:26:34Z [SKIPPED]
2021-09-10,120,2025-11-05T17:26:37Z [SKIPPED]
2021-09-11,9,2025-11-05T17:26:40Z [SKIPPED]
2021-09-12,9,2025-11-05T17:26:44Z [SKIPPED]
2021-09-13,151,2025-11-05T17:26:47Z [SKIPPED]
2021-09-14,178,2025-11-05T17:26:50Z [SKIPPED]
2021-09-15,235,2025-11-05T17:26:54Z [SKIPPED]
2021-09-16,150,2025-11-05T17:26:57Z [SKIPPED]
2021-09-17,125,2025-11-05T17:27:01Z [SKIPPED]
2021-09-18,14,2025-11-05T17:27:05Z [SKIPPED]
2021-09-19,16,2025-11-05T17:27:08Z [SKIPPED]
2021-09-20,187,2025-11-05T17:27:12Z [SKIPPED]
2021-09-21,175,2025-11-05T17:27:15Z [SKIPPED]
2021-09-22,189,2025-11-05T17:27:19Z [SKIPPED]
2021-09-23,202,2025-11-05T17:27:22Z [SKIPPED]
2021-09-24,130,2025-11-05T17:27:26Z [SKIPPED]
2021-09-25,8,2025-11-05T17:27:29Z [SKIPPED]
2021-09-26,25,2025-11-05T17:27:33Z [SKIPPED]
2021-09-27,133,2025-11-05T17:27:36Z [SKIPPED]
2021-09-28,152,2025-11-05T17:27:40Z [SKIPPED]
2021-09-29,241,2025-11-05T17:27:43Z [SKIPPED]
2021-09-30,208,2025-11-05T17:27:47Z [SKIPPED]
2021-10-01,212,2025-11-05T17:27:50Z [SKIPPED]
2021-10-02,8,2025-11-05T17:27:54Z [SKIPPED]
2021-10-03,25,2025-11-05T17:27:57Z [SKIPPED]
2021-10-04,197,2025-11-05T17:28:01Z [SKIPPED]
2021-10-05,216,2025-11-05T17:28:04Z [SKIPPED]
2021-10-06,181,2025-11-05T17:28:08Z [SKIPPED]
2021-10-07,137,2025-11-05T17:28:11Z [SKIPPED]
2021-10-08,157,2025-11-05T17:28:15Z [SKIPPED]
2021-10-09,5,2025-11-05T17:28:18Z [SKIPPED]
2021-10-10,8,2025-11-05T17:28:22Z [SKIPPED]
2021-10-11,74,2025-11-05T17:28:25Z [SKIPPED]
2021-10-12,155,2025-11-05T17:28:29Z [SKIPPED]
2021-10-13,146,2025-11-05T17:28:32Z [SKIPPED]
2021-10-14,143,2025-11-05T17:28:35Z [SKIPPED]
2021-10-15,151,2025-11-05T17:28:39Z [SKIPPED]
2021-10-16,18,2025-11-05T17:28:42Z [SKIPPED]
2021-10-17,5,2025-11-05T17:28:45Z [SKIPPED]
2021-10-18,121,2025-11-05T17:28:49Z [SKIPPED]
2021-10-19,196,2025-11-05T17:28:52Z [SKIPPED]
2021-10-20,249,2025-11-05T17:28:55Z [SKIPPED]
2021-10-21,176,2025-11-05T17:28:59Z [SKIPPED]
2021-10-22,0,2025-11-05T17:30:32Z [FAILED]
2021-10-23,0,2025-11-05T17:32:03Z [FAILED]
2021-10-24,0,2025-11-05T17:34:13Z [FAILED]
2021-10-25,0,2025-11-05T17:36:04Z [FAILED]
2021-10-26,0,2025-11-05T17:38:05Z [FAILED]
2021-10-27,0,2025-11-05T17:39:36Z [FAILED]
2021-10-28,0,2025-11-05T17:41:25Z [FAILED]
2021-10-29,0,2025-11-05T17:43:44Z [FAILED]
2021-10-30,0,2025-11-05T17:45:24Z [FAILED]
2021-10-31,0,2025-11-05T17:46:51Z [FAILED]
2021-11-01,0,2025-11-05T17:48:38Z [FAILED]
2021-11-02,0,2025-11-05T17:50:06Z [FAILED]
2021-11-03,0,2025-11-05T17:51:28Z [FAILED]
2021-11-04,0,2025-11-05T17:52:50Z [FAILED]
2021-11-05,0,2025-11-05T17:54:06Z [FAILED]
2021-11-06,0,2025-11-05T17:55:42Z [FAILED]
2021-11-07,0,2025-11-05T17:56:49Z [FAILED]
2021-11-08,0,2025-11-05T17:58:04Z [FAILED]
2021-11-09,0,2025-11-05T17:59:38Z [FAILED]
2021-11-10,0,2025-11-05T18:01:33Z [FAILED]
2021-11-11,0,2025-11-05T18:02:55Z [FAILED]
2021-11-12,0,2025-11-05T18:04:16Z [FAILED]
2021-11-13,0,2025-11-05T18:05:51Z [FAILED]
2021-11-14,0,2025-11-05T18:07:47Z [FAILED]
2021-11-15,0,2025-11-05T18:09:13Z [FAILED]
2021-11-16,0,2025-11-05T18:10:43Z [FAILED]
2021-11-17,0,2025-11-05T18:12:43Z [FAILED]
2021-11-18,0,2025-11-05T18:14:31Z [FAILED]
2021-11-19,0,2025-11-05T18:16:03Z [FAILED]
2021-11-20,0,2025-11-05T18:17:24Z [FAILED]
2021-11-21,0,2025-11-05T18:18:59Z [FAILED]
2021-11-22,0,2025-11-05T18:20:17Z [FAILED]
2021-11-23,0,2025-11-05T18:22:06Z [FAILED]
2021-11-24,0,2025-11-05T18:23:46Z [FAILED]
2021-11-25,0,2025-11-05T18:25:27Z [FAILED]
2021-11-26,0,2025-11-05T18:26:45Z [FAILED]
2021-11-27,0,2025-11-05T18:28:28Z [FAILED]
2021-11-28,0,2025-11-05T18:30:00Z [FAILED]
2021-11-29,0,2025-11-05T18:31:49Z [FAILED]
2021-11-30,0,2025-11-05T18:33:04Z [FAILED]
2021-12-01,0,2025-11-05T18:34:35Z [FAILED]
2021-12-02,0,2025-11-05T18:36:06Z [FAILED]
2021-12-03,0,2025-11-05T18:37:25Z [FAILED]
2021-12-04,0,2025-11-05T18:39:02Z [FAILED]
2021-12-05,0,2025-11-05T18:40:33Z [FAILED]
2021-12-06,0,2025-11-05T18:42:10Z [FAILED]
2021-12-07,0,2025-11-05T18:44:01Z [FAILED]
2021-12-08,0,2025-11-05T18:45:23Z [FAILED]
2021-12-09,0,2025-11-05T18:46:46Z [FAILED]
2021-12-10,0,2025-11-05T18:47:57Z [FAILED]
2021-12-11,0,2025-11-05T18:49:19Z [FAILED]
2021-12-12,0,2025-11-05T18:51:01Z [FAILED]
2021-12-13,0,2025-11-05T18:52:42Z [FAILED]
2021-12-14,0,2025-11-05T18:54:15Z [FAILED]
2021-12-15,0,2025-11-05T18:56:03Z [FAILED]
2021-12-16,0,2025-11-05T18:57:38Z [FAILED]
2021-12-17,0,2025-11-05T18:59:09Z [FAILED]
2021-12-18,0,2025-11-05T19:00:49Z [FAILED]
2021-12-19,0,2025-11-05T19:02:18Z [FAILED]
2021-12-20,0,2025-11-05T19:04:10Z [FAILED]
2021-12-21,0,2025-11-05T19:05:46Z [FAILED]
2021-12-22,0,2025-11-05T19:06:59Z [FAILED]
2021-12-23,0,2025-11-05T19:08:34Z [FAILED]
2021-12-24,0,2025-11-05T19:10:31Z [FAILED]
2021-12-25,0,2025-11-05T19:12:28Z [FAILED]
2021-12-26,0,2025-11-05T19:13:52Z [FAILED]
2021-12-27,0,2025-11-05T19:15:29Z [FAILED]
2021-12-28,0,2025-11-05T19:17:14Z [FAILED]
2021-12-29,0,2025-11-05T19:18:39Z [FAILED]
2021-12-30,0,2025-11-05T19:20:39Z [FAILED]
2021-12-31,0,2025-11-05T19:22:00Z [FAILED]
2022-01-01,0,2025-11-05T19:23:22Z [FAILED]
2022-01-02,0,2025-11-05T19:25:26Z [FAILED]
2022-01-03,0,2025-11-05T19:26:55Z [FAILED]
2022-01-04,0,2025-11-05T19:28:12Z [FAILED]
2022-01-05,0,2025-11-05T19:30:07Z [FAILED]
2022-01-06,0,2025-11-05T19:31:27Z [FAILED]
2022-01-07,0,2025-11-05T19:33:07Z [FAILED]
2022-01-08,0,2025-11-05T19:34:47Z [FAILED]
2022-01-09,0,2025-11-05T19:36:20Z [FAILED]
2022-01-10,0,2025-11-05T19:37:28Z [FAILED]
2022-01-11,0,2025-11-05T19:39:04Z [FAILED]
2022-01-12,0,2025-11-05T19:40:13Z [FAILED]
2022-01-13,0,2025-11-05T19:41:31Z [FAILED]
2022-01-14,0,2025-11-05T19:42:57Z [FAILED]
2022-01-15,0,2025-11-05T19:44:22Z [FAILED]
2022-01-16,0,2025-11-05T19:46:04Z [FAILED]
2022-01-17,0,2025-11-05T19:47:23Z [FAILED]
2022-01-18,0,2025-11-05T19:48:38Z [FAILED]
2022-01-19,0,2025-11-05T19:50:17Z [FAILED]
2022-01-20,0,2025-11-05T19:52:12Z [FAILED]
2022-01-21,0,2025-11-05T19:53:51Z [FAILED]
2022-01-22,0,2025-11-05T19:55:02Z [FAILED]
2022-01-23,0,2025-11-05T19:56:48Z [FAILED]
2022-01-24,0,2025-11-05T19:58:01Z [FAILED]
2022-01-25,0,2025-11-05T19:59:13Z [FAILED]
2022-01-26,0,2025-11-05T20:00:25Z [FAILED]
2022-01-27,0,2025-11-05T20:02:00Z [FAILED]
2022-01-28,0,2025-11-05T20:03:26Z [FAILED]
2022-01-29,0,2025-11-05T20:04:47Z [FAILED]
2022-01-30,0,2025-11-05T20:06:33Z [FAILED]
2022-01-31,0,2025-11-05T20:08:18Z [FAILED]
2022-02-01,0,2025-11-05T20:09:38Z [FAILED]
2022-02-02,0,2025-11-05T20:11:25Z [FAILED]
2022-02-03,0,2025-11-05T20:13:08Z [FAILED]
2022-02-04,0,2025-11-05T20:14:34Z [FAILED]
2022-02-05,0,2025-11-05T20:16:24Z [FAILED]
2022-02-06,0,2025-11-05T20:17:52Z [FAILED]
2022-02-07,0,2025-11-05T20:19:34Z [FAILED]
2022-02-08,0,2025-11-05T20:21:20Z [FAILED]
2022-02-09,0,2025-11-05T20:22:59Z [FAILED]
2022-02-10,0,2025-11-05T20:24:23Z [FAILED]
2022-02-11,0,2025-11-05T20:25:42Z [FAILED]
2022-02-12,0,2025-11-05T20:27:04Z [FAILED]
2022-02-13,0,2025-11-05T20:28:23Z [FAILED]
2022-02-14,0,2025-11-05T20:29:39Z [FAILED]
2022-02-15,0,2025-11-05T20:30:50Z [FAILED]
2022-02-16,0,2025-11-05T20:32:42Z [FAILED]
2022-02-17,0,2025-11-05T20:34:27Z [FAILED]
2022-02-18,0,2025-11-05T20:36:01Z [FAILED]
2022-02-19,0,2025-11-05T20:37:52Z [FAILED]
2022-02-20,0,2025-11-05T20:39:37Z [FAILED]
2022-02-21,0,2025-11-05T20:41:09Z [FAILED]
2022-02-22,0,2025-11-05T20:42:21Z [FAILED]
2022-02-23,0,2025-11-05T20:43:58Z [FAILED]
2022-02-24,0,2025-11-05T20:45:51Z [FAILED]
2022-02-25,0,2025-11-05T20:47:10Z [FAILED]
2022-02-26,0,2025-11-05T20:48:18Z [FAILED]
2022-02-27,0,2025-11-05T20:49:58Z [FAILED]
2022-02-28,0,2025-11-05T20:51:25Z [FAILED]
2022-03-01,0,2025-11-05T20:52:52Z [FAILED]
2022-03-02,0,2025-11-05T20:54:38Z [FAILED]
2022-03-03,0,2025-11-05T20:55:57Z [FAILED]
2022-03-04,0,2025-11-05T20:57:22Z [FAILED]
2022-03-05,0,2025-11-05T20:59:11Z [FAILED]
2022-03-06,0,2025-11-05T21:00:26Z [FAILED]
2022-03-07,0,2025-11-05T21:01:51Z [FAILED]
2022-03-08,0,2025-11-05T21:03:41Z [FAILED]
2022-03-09,0,2025-11-05T21:05:02Z [FAILED]
2022-03-10,0,2025-11-05T21:06:25Z [FAILED]
2022-03-11,0,2025-11-05T21:08:01Z [FAILED]
2022-03-12,0,2025-11-05T21:09:36Z [FAILED]
2022-03-13,0,2025-11-05T21:10:54Z [FAILED]
2022-03-14,0,2025-11-05T21:11:58Z [FAILED]
2022-03-15,0,2025-11-05T21:13:14Z [FAILED]
2022-03-16,0,2025-11-05T21:14:26Z [FAILED]
2022-03-17,0,2025-11-05T21:15:59Z [FAILED]
2022-03-18,0,2025-11-05T21:17:40Z [FAILED]
2022-03-19,0,2025-11-05T21:18:56Z [FAILED]
2022-03-20,0,2025-11-05T21:20:54Z [FAILED]
2022-03-21,0,2025-11-05T21:22:43Z [FAILED]
2022-03-22,0,2025-11-05T21:24:21Z [FAILED]
2022-03-23,0,2025-11-05T21:25:53Z [FAILED]
2022-03-24,0,2025-11-05T21:27:11Z [FAILED]
2022-03-25,0,2025-11-05T21:29:15Z [FAILED]
2022-03-26,0,2025-11-05T21:30:38Z [FAILED]
2022-03-27,0,2025-11-05T21:32:09Z [FAILED]
2022-03-28,0,2025-11-05T21:33:45Z [FAILED]
2022-03-29,0,2025-11-05T21:35:38Z [FAILED]
2022-03-30,0,2025-11-05T21:37:20Z [FAILED]
2022-03-31,0,2025-11-05T21:38:44Z [FAILED]
2022-04-01,0,2025-11-05T21:40:01Z [FAILED]
2022-04-02,0,2025-11-05T21:42:04Z [FAILED]
2022-04-03,0,2025-11-05T21:43:41Z [FAILED]
2022-04-04,0,2025-11-05T21:44:50Z [FAILED]
2022-04-05,0,2025-11-05T21:46:42Z [FAILED]
2022-04-06,0,2025-11-05T21:48:12Z [FAILED]
2022-04-07,0,2025-11-05T21:49:43Z [FAILED]
2022-04-08,0,2025-11-05T21:51:23Z [FAILED]
2022-04-09,0,2025-11-05T21:52:47Z [FAILED]
2022-04-10,0,2025-11-05T21:54:28Z [FAILED]
2022-04-11,0,2025-11-05T21:56:06Z [FAILED]
2022-04-12,0,2025-11-05T21:57:37Z [FAILED]
2022-04-13,0,2025-11-05T21:59:25Z [FAILED]
2022-04-14,0,2025-11-05T22:01:31Z [FAILED]
2022-04-15,0,2025-11-05T22:03:36Z [FAILED]
2022-04-16,0,2025-11-05T22:05:13Z [FAILED]
2022-04-17,0,2025-11-05T22:06:44Z [FAILED]
2022-04-18,0,2025-11-05T22:07:59Z [FAILED]
2022-04-19,0,2025-11-05T22:09:33Z [FAILED]
2022-04-20,0,2025-11-05T22:11:01Z [FAILED]
2022-04-21,0,2025-11-05T22:12:35Z [FAILED]
2022-04-22,0,2025-11-05T22:14:21Z [FAILED]
2022-04-23,0,2025-11-05T22:15:28Z [FAILED]
2022-04-24,0,2025-11-05T22:17:00Z [FAILED]
2022-04-25,0,2025-11-05T22:18:26Z [FAILED]
2022-04-26,0,2025-11-05T22:20:14Z [FAILED]
2022-04-27,0,2025-11-05T22:21:43Z [FAILED]
2022-04-28,0,2025-11-05T22:22:58Z [FAILED]
2022-04-29,0,2025-11-05T22:24:43Z [FAILED]
2022-04-30,0,2025-11-05T22:25:54Z [FAILED]
2022-05-01,0,2025-11-05T22:27:16Z [FAILED]
2022-05-02,0,2025-11-05T22:28:41Z [FAILED]
2022-05-03,0,2025-11-05T22:30:23Z [FAILED]
2022-05-04,0,2025-11-05T22:31:47Z [FAILED]
2022-05-05,0,2025-11-05T22:33:05Z [FAILED]
2022-05-06,0,2025-11-05T22:34:22Z [FAILED]
2022-05-07,0,2025-11-05T22:35:42Z [FAILED]
2022-05-08,0,2025-11-05T22:37:06Z [FAILED]
2022-05-09,0,2025-11-05T22:38:59Z [FAILED]
2022-05-10,0,2025-11-05T22:40:17Z [FAILED]
2022-05-11,0,2025-11-05T22:41:57Z [FAILED]
2022-05-12,0,2025-11-05T22:43:15Z [FAILED]
2022-05-13,0,2025-11-05T22:44:40Z [FAILED]
2022-05-14,0,2025-11-05T22:46:32Z [FAILED]
2022-05-15,0,2025-11-05T22:47:46Z [FAILED]
2022-05-16,0,2025-11-05T22:49:12Z [FAILED]
2022-05-17,0,2025-11-05T22:50:32Z [FAILED]
2022-05-18,0,2025-11-05T22:51:58Z [FAILED]
2022-05-19,0,2025-11-05T22:53:23Z [FAILED]
2022-05-20,0,2025-11-05T22:54:42Z [FAILED]
2022-05-21,0,2025-11-05T22:56:08Z [FAILED]
2022-05-22,0,2025-11-05T22:57:29Z [FAILED]
2022-05-23,0,2025-11-05T22:59:14Z [FAILED]
2022-05-24,0,2025-11-05T23:00:41Z [FAILED]
