dataset,date,rows,timestamp
taxi,2021-10-01,17657,2025-11-04T11:01:41Z
taxi,2021-10-02,14141,2025-11-04T11:03:14Z
taxi,2021-10-03,14285,2025-11-04T11:05:10Z
taxi,2021-10-04,15797,2025-11-04T11:07:13Z
taxi,2021-10-05,17443,2025-11-04T11:08:55Z
taxi,2021-10-06,16702,2025-11-04T11:10:58Z
taxi,2021-10-07,17754,2025-11-04T11:12:46Z
taxi,2021-10-08,20389,2025-11-04T11:14:55Z
taxi,2021-10-09,16258,2025-11-04T11:16:40Z
taxi,2021-10-10,12881,2025-11-04T11:18:39Z
taxi,2021-10-11,15644,2025-11-04T11:20:12Z
taxi,2021-10-12,16321,2025-11-04T11:22:07Z
taxi,2021-10-13,15414,2025-11-04T11:23:54Z
taxi,2021-10-14,16644,2025-11-04T11:25:34Z
taxi,2021-10-15,18102,2025-11-04T11:27:29Z
taxi,2021-10-16,15446,2025-11-04T11:29:02Z
taxi,2021-10-17,15128,2025-11-04T11:30:48Z
taxi,2021-10-18,16170,2025-11-04T11:32:56Z
taxi,2021-10-19,15905,2025-11-04T11:34:52Z
taxi,2021-10-20,15949,2025-11-04T11:36:16Z
taxi,2021-10-21,17474,2025-11-04T11:37:55Z
taxi,2021-10-22,18535,2025-11-04T11:40:00Z
taxi,2021-10-23,14739,2025-11-04T11:41:44Z
taxi,2021-10-24,13857,2025-11-04T11:43:23Z
taxi,2021-10-25,15350,2025-11-04T11:45:18Z
taxi,2021-10-26,14796,2025-11-04T11:47:16Z
taxi,2021-10-27,15484,2025-11-04T11:49:08Z
taxi,2021-10-28,17003,2025-11-04T11:50:48Z
taxi,2021-10-29,18350,2025-11-04T11:52:30Z
taxi,2021-10-30,13645,2025-11-04T11:54:38Z
taxi,2021-10-31,12439,2025-11-04T11:56:41Z
taxi,2021-11-01,15479,2025-11-04T11:58:41Z
taxi,2021-11-02,15132,2025-11-04T12:00:05Z
taxi,2021-11-03,16406,2025-11-04T12:02:23Z
taxi,2021-11-04,17042,2025-11-04T12:04:32Z
taxi,2021-11-05,17491,2025-11-04T12:06:48Z
taxi,2021-11-06,12727,2025-11-04T12:08:25Z
taxi,2021-11-07,11780,2025-11-04T12:10:39Z
taxi,2021-11-08,14244,2025-11-04T12:12:21Z
taxi,2021-11-09,14276,2025-11-04T12:14:30Z
taxi,2021-11-10,16020,2025-11-04T12:16:24Z
taxi,2021-11-11,15911,2025-11-04T12:18:03Z
taxi,2021-11-12,17516,2025-11-04T12:19:47Z
taxi,2021-11-13,12899,2025-11-04T12:27:00Z
taxi,2021-11-14,11722,2025-11-04T12:28:54Z
taxi,2021-11-15,15304,2025-11-04T12:30:38Z
taxi,2021-11-16,15672,2025-11-04T12:32:14Z
taxi,2021-11-17,16176,2025-11-04T12:34:05Z
taxi,2021-11-18,18037,2025-11-04T12:35:53Z
taxi,2021-11-19,18945,2025-11-04T12:37:54Z
taxi,2021-11-20,13751,2025-11-04T12:39:46Z
taxi,2021-11-21,11980,2025-11-04T12:41:40Z
taxi,2021-11-22,13597,2025-11-04T12:43:30Z
taxi,2021-11-23,14616,2025-11-04T12:45:12Z
taxi,2021-11-24,13180,2025-11-04T12:51:52Z
taxi,2021-11-25,7708,2025-11-04T12:53:42Z
taxi,2021-11-26,12021,2025-11-04T12:55:19Z
taxi,2021-11-27,15273,2025-11-04T12:57:07Z
taxi,2021-11-28,14431,2025-11-04T12:58:50Z
taxi,2021-11-29,18041,2025-11-04T13:00:42Z
taxi,2021-11-30,17974,2025-11-04T13:02:59Z
taxi,2021-12-01,18014,2025-11-04T13:04:42Z
taxi,2021-12-02,18500,2025-11-04T13:06:55Z
taxi,2021-12-03,19750,2025-11-04T13:09:16Z
taxi,2021-12-04,14736,2025-11-04T13:11:05Z
taxi,2021-12-05,13507,2025-11-04T13:13:25Z
taxi,2021-12-06,16339,2025-11-04T13:15:36Z
taxi,2021-12-07,16054,2025-11-04T13:17:34Z
taxi,2021-12-08,16620,2025-11-04T13:19:52Z
taxi,2021-12-09,18087,2025-11-04T13:21:36Z
taxi,2021-12-10,19323,2025-11-04T13:23:27Z
taxi,2021-12-11,14858,2025-11-04T13:25:32Z
taxi,2021-12-12,11880,2025-11-04T13:27:32Z
taxi,2021-12-13,14016,2025-11-04T13:29:02Z
taxi,2021-12-14,15418,2025-11-04T13:30:55Z
taxi,2021-12-15,17014,2025-11-04T13:33:13Z
