date,permits_count,timestamp
2020-11-02,131,2025-11-05T17:26:14Z [SKIPPED]
2020-11-03,175,2025-11-05T17:26:18Z [SKIPPED]
2020-11-04,144,2025-11-05T17:26:21Z [SKIPPED]
2020-11-05,192,2025-11-05T17:26:25Z [SKIPPED]
2020-11-06,119,2025-11-05T17:26:28Z [SKIPPED]
2020-11-07,11,2025-11-05T17:26:32Z [SKIPPED]
2020-11-08,15,2025-11-05T17:26:35Z [SKIPPED]
2020-11-09,193,2025-11-05T17:26:38Z [SKIPPED]
2020-11-10,120,2025-11-05T17:26:42Z [SKIPPED]
2020-11-11,63,2025-11-05T17:26:45Z [SKIPPED]
2020-11-12,109,2025-11-05T17:26:48Z [SKIPPED]
2020-11-13,110,2025-11-05T17:26:52Z [SKIPPED]
2020-11-14,18,2025-11-05T17:26:55Z [SKIPPED]
2020-11-15,11,2025-11-05T17:26:59Z [SKIPPED]
2020-11-16,170,2025-11-05T17:27:03Z [SKIPPED]
2020-11-17,130,2025-11-05T17:27:06Z [SKIPPED]
2020-11-18,169,2025-11-05T17:27:10Z [SKIPPED]
2020-11-19,157,2025-11-05T17:27:13Z [SKIPPED]
2020-11-20,95,2025-11-05T17:27:17Z [SKIPPED]
2020-11-21,7,2025-11-05T17:27:20Z [SKIPPED]
2020-11-22,13,2025-11-05T17:27:24Z [SKIPPED]
2020-11-23,142,2025-11-05T17:27:27Z [SKIPPED]
2020-11-24,197,2025-11-05T17:27:31Z [SKIPPED]
2020-11-25,81,2025-11-05T17:27:34Z [SKIPPED]
2020-11-26,6,2025-11-05T17:27:38Z [SKIPPED]
2020-11-27,16,2025-11-05T17:27:41Z [SKIPPED]
2020-11-28,12,2025-11-05T17:27:45Z [SKIPPED]
2020-11-29,4,2025-11-05T17:27:48Z [SKIPPED]
2020-11-30,161,2025-11-05T17:27:52Z [SKIPPED]
2020-12-01,148,2025-11-05T17:27:56Z [SKIPPED]
2020-12-02,145,2025-11-05T17:27:59Z [SKIPPED]
2020-12-03,108,2025-11-05T17:28:03Z [SKIPPED]
2020-12-04,110,2025-11-05T17:28:06Z [SKIPPED]
2020-12-05,14,2025-11-05T17:28:10Z [SKIPPED]
2020-12-06,17,2025-11-05T17:28:13Z [SKIPPED]
2020-12-07,144,2025-11-05T17:28:16Z [SKIPPED]
2020-12-08,127,2025-11-05T17:28:20Z [SKIPPED]
2020-12-09,137,2025-11-05T17:28:51Z [SKIPPED]
2020-12-10,114,2025-11-05T17:28:55Z [SKIPPED]
2020-12-11,77,2025-11-05T17:28:58Z [SKIPPED]
2020-12-12,10,2025-11-05T17:29:01Z [SKIPPED]
2020-12-13,17,2025-11-05T17:29:04Z [SKIPPED]
2020-12-14,124,2025-11-05T17:29:08Z [SKIPPED]
2020-12-15,102,2025-11-05T17:29:11Z [SKIPPED]
2020-12-16,147,2025-11-05T17:29:14Z [SKIPPED]
2020-12-17,142,2025-11-05T17:29:18Z [SKIPPED]
2020-12-18,0,2025-11-05T17:30:56Z [FAILED]
2020-12-19,0,2025-11-05T17:32:04Z [FAILED]
2020-12-20,0,2025-11-05T17:33:52Z [FAILED]
2020-12-21,0,2025-11-05T17:35:21Z [FAILED]
2020-12-22,0,2025-11-05T17:36:49Z [FAILED]
2020-12-23,0,2025-11-05T17:38:33Z [FAILED]
2020-12-24,0,2025-11-05T17:40:25Z [FAILED]
2020-12-25,0,2025-11-05T17:41:57Z [FAILED]
2020-12-26,0,2025-11-05T17:43:54Z [FAILED]
2020-12-27,0,2025-11-05T17:45:24Z [FAILED]
2020-12-28,0,2025-11-05T17:46:43Z [FAILED]
2020-12-29,0,2025-11-05T17:48:18Z [FAILED]
2020-12-30,0,2025-11-05T17:49:54Z [FAILED]
2020-12-31,0,2025-11-05T17:51:26Z [FAILED]
2021-01-01,0,2025-11-05T17:53:12Z [FAILED]
2021-01-02,0,2025-11-05T17:54:46Z [FAILED]
2021-01-03,0,2025-11-05T17:56:18Z [FAILED]
2021-01-04,0,2025-11-05T17:57:27Z [FAILED]
2021-01-05,0,2025-11-05T17:58:46Z [FAILED]
2021-01-06,0,2025-11-05T18:00:07Z [FAILED]
2021-01-07,0,2025-11-05T18:01:34Z [FAILED]
2021-01-08,0,2025-11-05T18:02:53Z [FAILED]
2021-01-09,0,2025-11-05T18:04:22Z [FAILED]
2021-01-10,0,2025-11-05T18:05:41Z [FAILED]
2021-01-11,0,2025-11-05T18:07:00Z [FAILED]
2021-01-12,0,2025-11-05T18:08:29Z [FAILED]
2021-01-13,0,2025-11-05T18:10:16Z [FAILED]
2021-01-14,0,2025-11-05T18:11:47Z [FAILED]
2021-01-15,0,2025-11-05T18:13:04Z [FAILED]
2021-01-16,0,2025-11-05T18:14:41Z [FAILED]
2021-01-17,0,2025-11-05T18:16:01Z [FAILED]
2021-01-18,0,2025-11-05T18:17:45Z [FAILED]
2021-01-19,0,2025-11-05T18:19:15Z [FAILED]
2021-01-20,0,2025-11-05T18:20:41Z [FAILED]
2021-01-21,0,2025-11-05T18:22:02Z [FAILED]
2021-01-22,0,2025-11-05T18:23:19Z [FAILED]
2021-01-23,0,2025-11-05T18:24:57Z [FAILED]
2021-01-24,0,2025-11-05T18:26:04Z [FAILED]
2021-01-25,0,2025-11-05T18:27:32Z [FAILED]
2021-01-26,0,2025-11-05T18:28:46Z [FAILED]
2021-01-27,0,2025-11-05T18:30:29Z [FAILED]
2021-01-28,0,2025-11-05T18:32:20Z [FAILED]
2021-01-29,0,2025-11-05T18:34:01Z [FAILED]
2021-01-30,0,2025-11-05T18:35:25Z [FAILED]
2021-01-31,0,2025-11-05T18:36:45Z [FAILED]
2021-02-01,0,2025-11-05T18:38:35Z [FAILED]
2021-02-02,0,2025-11-05T18:40:15Z [FAILED]
2021-02-03,0,2025-11-05T18:41:30Z [FAILED]
2021-02-04,0,2025-11-05T18:42:57Z [FAILED]
2021-02-05,0,2025-11-05T18:44:45Z [FAILED]
2021-02-06,0,2025-11-05T18:46:11Z [FAILED]
2021-02-07,0,2025-11-05T18:48:00Z [FAILED]
2021-02-08,0,2025-11-05T18:49:47Z [FAILED]
2021-02-09,0,2025-11-05T18:51:17Z [FAILED]
2021-02-10,0,2025-11-05T18:52:44Z [FAILED]
2021-02-11,0,2025-11-05T18:54:02Z [FAILED]
2021-02-12,0,2025-11-05T18:55:32Z [FAILED]
2021-02-13,0,2025-11-05T18:56:50Z [FAILED]
2021-02-14,0,2025-11-05T18:58:25Z [FAILED]
2021-02-15,0,2025-11-05T19:00:06Z [FAILED]
2021-02-16,0,2025-11-05T19:01:44Z [FAILED]
2021-02-17,0,2025-11-05T19:03:19Z [FAILED]
2021-02-18,0,2025-11-05T19:04:56Z [FAILED]
2021-02-19,0,2025-11-05T19:06:22Z [FAILED]
2021-02-20,0,2025-11-05T19:07:46Z [FAILED]
2021-02-21,0,2025-11-05T19:09:13Z [FAILED]
2021-02-22,0,2025-11-05T19:10:33Z [FAILED]
2021-02-23,0,2025-11-05T19:11:51Z [FAILED]
2021-02-24,0,2025-11-05T19:13:20Z [FAILED]
2021-02-25,0,2025-11-05T19:14:50Z [FAILED]
2021-02-26,0,2025-11-05T19:16:38Z [FAILED]
2021-02-27,0,2025-11-05T19:18:09Z [FAILED]
2021-02-28,0,2025-11-05T19:19:23Z [FAILED]
2021-03-01,0,2025-11-05T19:21:06Z [FAILED]
2021-03-02,0,2025-11-05T19:22:42Z [FAILED]
2021-03-03,0,2025-11-05T19:24:16Z [FAILED]
2021-03-04,0,2025-11-05T19:26:07Z [FAILED]
2021-03-05,0,2025-11-05T19:27:15Z [FAILED]
2021-03-06,0,2025-11-05T19:28:32Z [FAILED]
2021-03-07,0,2025-11-05T19:30:14Z [FAILED]
2021-03-08,0,2025-11-05T19:31:48Z [FAILED]
2021-03-09,0,2025-11-05T19:33:17Z [FAILED]
2021-03-10,0,2025-11-05T19:34:56Z [FAILED]
2021-03-11,0,2025-11-05T19:36:18Z [FAILED]
2021-03-12,0,2025-11-05T19:38:10Z [FAILED]
2021-03-13,0,2025-11-05T19:39:39Z [FAILED]
2021-03-14,0,2025-11-05T19:41:04Z [FAILED]
2021-03-15,0,2025-11-05T19:42:50Z [FAILED]
2021-03-16,0,2025-11-05T19:44:19Z [FAILED]
2021-03-17,0,2025-11-05T19:45:43Z [FAILED]
2021-03-18,0,2025-11-05T19:48:13Z [FAILED]
2021-03-19,0,2025-11-05T19:49:57Z [FAILED]
2021-03-20,0,2025-11-05T19:52:24Z [FAILED]
2021-03-21,0,2025-11-05T19:54:10Z [FAILED]
2021-03-22,0,2025-11-05T19:55:30Z [FAILED]
2021-03-23,0,2025-11-05T19:57:12Z [FAILED]
2021-03-24,0,2025-11-05T19:59:00Z [FAILED]
2021-03-25,0,2025-11-05T20:00:36Z [FAILED]
2021-03-26,0,2025-11-05T20:02:11Z [FAILED]
2021-03-27,0,2025-11-05T20:04:06Z [FAILED]
2021-03-28,0,2025-11-05T20:05:39Z [FAILED]
2021-03-29,0,2025-11-05T20:07:08Z [FAILED]
2021-03-30,0,2025-11-05T20:08:30Z [FAILED]
2021-03-31,0,2025-11-05T20:09:49Z [FAILED]
2021-04-01,0,2025-11-05T20:11:29Z [FAILED]
2021-04-02,0,2025-11-05T20:12:39Z [FAILED]
2021-04-03,0,2025-11-05T20:13:52Z [FAILED]
2021-04-04,0,2025-11-05T20:15:35Z [FAILED]
2021-04-05,0,2025-11-05T20:16:54Z [FAILED]
2021-04-06,0,2025-11-05T20:18:13Z [FAILED]
2021-04-07,0,2025-11-05T20:19:50Z [FAILED]
2021-04-08,0,2025-11-05T20:21:15Z [FAILED]
2021-04-09,0,2025-11-05T20:22:22Z [FAILED]
2021-04-10,0,2025-11-05T20:23:50Z [FAILED]
2021-04-11,0,2025-11-05T20:25:25Z [FAILED]
2021-04-12,0,2025-11-05T20:26:40Z [FAILED]
2021-04-13,0,2025-11-05T20:28:27Z [FAILED]
2021-04-14,0,2025-11-05T20:29:42Z [FAILED]
2021-04-15,0,2025-11-05T20:31:23Z [FAILED]
2021-04-16,0,2025-11-05T20:32:44Z [FAILED]
2021-04-17,0,2025-11-05T20:33:59Z [FAILED]
2021-04-18,0,2025-11-05T20:36:03Z [FAILED]
2021-04-19,0,2025-11-05T20:38:05Z [FAILED]
2021-04-20,0,2025-11-05T20:39:21Z [FAILED]
2021-04-21,0,2025-11-05T20:40:36Z [FAILED]
2021-04-22,0,2025-11-05T20:41:53Z [FAILED]
2021-04-23,0,2025-11-05T20:43:43Z [FAILED]
