date,taxi_rows,timestamp
2024-07-01,16214,2025-11-05T08:52:54Z
2024-07-02,16166,2025-11-05T08:57:27Z
2024-07-03,16333,2025-11-05T08:59:01Z
2024-07-04,9664,2025-11-05T09:00:41Z
2024-07-05,13388,2025-11-05T09:02:54Z
2024-07-06,12340,2025-11-05T09:04:45Z
2024-07-07,13384,2025-11-05T09:06:31Z
2024-07-08,17279,2025-11-05T09:08:38Z
2024-07-09,18715,2025-11-05T09:10:24Z
2024-07-10,19195,2025-11-05T09:12:28Z
2024-07-11,19974,2025-11-05T09:14:13Z
2024-07-12,18090,2025-11-05T09:15:57Z
2024-07-13,14638,2025-11-05T09:17:31Z
2024-07-14,14599,2025-11-05T09:19:47Z
2024-07-15,21282,2025-11-05T09:21:39Z
2024-07-16,22095,2025-11-05T09:23:51Z
2024-07-17,21286,2025-11-05T09:25:30Z
2024-07-18,21837,2025-11-05T09:27:27Z
2024-07-19,20415,2025-11-05T09:29:31Z
2024-07-20,16241,2025-11-05T09:31:24Z
2024-07-21,14798,2025-11-05T09:33:41Z
2024-07-22,20126,2025-11-05T09:35:49Z
2024-07-23,21244,2025-11-05T09:38:19Z
2024-07-24,21833,2025-11-05T09:40:06Z
2024-07-25,21084,2025-11-05T09:41:42Z
2024-07-26,17959,2025-11-05T09:43:29Z
2024-07-27,13580,2025-11-05T09:45:13Z
2024-07-28,12409,2025-11-05T09:47:31Z
2024-07-29,18847,2025-11-05T09:49:17Z
2024-07-30,19392,2025-11-05T09:50:35Z
2024-07-31,21872,2025-11-05T09:52:17Z
2024-08-01,22816,2025-11-05T09:53:46Z
2024-08-02,20199,2025-11-05T09:55:07Z
2024-08-03,15417,2025-11-05T09:56:56Z
2024-08-04,15037,2025-11-05T09:58:32Z
2024-08-05,19667,2025-11-05T10:00:19Z
2024-08-06,20503,2025-11-05T10:02:13Z
2024-08-07,21701,2025-11-05T10:03:52Z
2024-08-08,21651,2025-11-05T10:05:40Z
2024-08-09,20545,2025-11-05T10:07:27Z
2024-08-10,15288,2025-11-05T10:09:33Z
2024-08-11,14347,2025-11-05T10:11:19Z
2024-08-12,17959,2025-11-05T10:13:08Z
2024-08-13,18808,2025-11-05T10:14:38Z
2024-08-14,19797,2025-11-05T10:16:29Z
2024-08-15,20558,2025-11-05T10:18:00Z
2024-08-16,18316,2025-11-05T10:19:36Z
2024-08-17,13764,2025-11-05T10:21:15Z
2024-08-18,13887,2025-11-05T10:22:40Z
2024-08-19,17731,2025-11-05T10:24:34Z
2024-08-20,17414,2025-11-05T10:26:40Z
2024-08-21,18804,2025-11-05T10:28:18Z
2024-08-22,19506,2025-11-05T10:29:34Z
2024-08-23,19193,2025-11-05T10:31:36Z
2024-08-24,13900,2025-11-05T10:33:20Z
2024-08-25,13949,2025-11-05T10:35:31Z
2024-08-26,18606,2025-11-05T10:37:37Z
2024-08-27,19755,2025-11-05T10:39:22Z
2024-08-28,20237,2025-11-05T10:40:56Z
2024-08-29,20629,2025-11-05T10:42:57Z
2024-08-30,19635,2025-11-05T10:44:41Z
2024-08-31,14113,2025-11-05T10:46:03Z
2024-09-01,12632,2025-11-05T10:47:54Z
2024-09-02,12540,2025-11-05T10:49:57Z
2024-09-03,18078,2025-11-05T10:51:43Z
2024-09-04,18318,2025-11-05T10:53:32Z
2024-09-05,19893,2025-11-05T10:55:24Z
2024-09-06,18933,2025-11-05T10:56:56Z
2024-09-07,14156,2025-11-05T10:58:30Z
2024-09-08,15757,2025-11-05T11:00:35Z
2024-09-09,21136,2025-11-05T11:02:27Z
2024-09-10,22511,2025-11-05T11:04:24Z
2024-09-11,23078,2025-11-05T11:06:10Z
2024-09-12,23443,2025-11-05T11:07:54Z
2024-09-13,20287,2025-11-05T11:09:54Z
2024-09-14,13768,2025-11-05T11:11:35Z
2024-09-15,13799,2025-11-05T11:13:41Z
2024-09-16,19567,2025-11-05T11:15:19Z
2024-09-17,20474,2025-11-05T11:16:47Z
2024-09-18,22239,2025-11-05T11:18:33Z
2024-09-19,23338,2025-11-05T11:20:02Z
2024-09-20,21269,2025-11-05T11:21:46Z
2024-09-21,14581,2025-11-05T11:23:41Z
2024-09-22,15617,2025-11-05T11:25:44Z
2024-09-23,19864,2025-11-05T11:27:44Z
2024-09-24,23017,2025-11-05T11:29:20Z
2024-09-25,23661,2025-11-05T11:31:16Z
2024-09-26,23640,2025-11-05T11:32:57Z
2024-09-27,20945,2025-11-05T11:34:57Z
2024-09-28,13890,2025-11-05T11:36:27Z
2024-09-29,14029,2025-11-05T11:38:31Z
2024-09-30,18764,2025-11-05T11:39:55Z
