date,taxi_rows,timestamp
2024-04-01,17536,2025-11-05T08:52:56Z
2024-04-02,18522,2025-11-05T08:54:30Z
2024-04-03,20480,2025-11-05T08:56:29Z
2024-04-04,20321,2025-11-05T08:58:09Z
2024-04-05,18552,2025-11-05T08:59:46Z
2024-04-06,13439,2025-11-05T09:01:06Z
2024-04-07,13650,2025-11-05T09:03:35Z
2024-04-08,19201,2025-11-05T09:05:49Z
2024-04-09,20668,2025-11-05T09:08:03Z
2024-04-10,20372,2025-11-05T09:09:56Z
2024-04-11,22993,2025-11-05T09:11:45Z
2024-04-12,20545,2025-11-05T09:13:36Z
2024-04-13,14866,2025-11-05T09:15:34Z
2024-04-14,14191,2025-11-05T09:17:12Z
2024-04-15,17866,2025-11-05T09:19:16Z
2024-04-16,19830,2025-11-05T09:20:59Z
2024-04-17,20734,2025-11-05T09:22:53Z
2024-04-18,21577,2025-11-05T09:24:44Z
2024-04-19,19890,2025-11-05T09:26:21Z
2024-04-20,14841,2025-11-05T09:28:10Z
2024-04-21,13220,2025-11-05T09:29:43Z
2024-04-22,17283,2025-11-05T09:31:08Z
2024-04-23,18347,2025-11-05T09:32:53Z
2024-04-24,20846,2025-11-05T09:34:22Z
2024-04-25,21357,2025-11-05T09:35:52Z
2024-04-26,20287,2025-11-05T09:39:17Z
2024-04-27,14290,2025-11-05T09:41:05Z
2024-04-28,13400,2025-11-05T09:42:58Z
2024-04-29,18226,2025-11-05T09:44:49Z
2024-04-30,19039,2025-11-05T09:46:39Z
2024-05-01,20809,2025-11-05T09:48:31Z
2024-05-02,21791,2025-11-05T09:50:04Z
2024-05-03,22025,2025-11-05T09:51:46Z
2024-05-04,16014,2025-11-05T09:53:24Z
2024-05-05,15820,2025-11-05T09:54:50Z
2024-05-06,21359,2025-11-05T09:56:36Z
2024-05-07,22793,2025-11-05T09:58:01Z
2024-05-08,22702,2025-11-05T09:59:59Z
2024-05-09,22688,2025-11-05T10:01:32Z
2024-05-10,19388,2025-11-05T10:03:06Z
2024-05-11,13338,2025-11-05T10:04:52Z
2024-05-12,13059,2025-11-05T10:06:48Z
2024-05-13,19301,2025-11-05T10:08:45Z
2024-05-14,20484,2025-11-05T10:10:39Z
2024-05-15,21980,2025-11-05T10:12:36Z
2024-05-16,23802,2025-11-05T10:14:56Z
2024-05-17,24018,2025-11-05T10:16:34Z
2024-05-18,19475,2025-11-05T10:18:25Z
2024-05-19,19007,2025-11-05T10:20:39Z
2024-05-20,22867,2025-11-05T10:22:46Z
2024-05-21,24722,2025-11-05T10:24:54Z
2024-05-22,22571,2025-11-05T10:26:24Z
2024-05-23,21652,2025-11-05T10:28:24Z
2024-05-24,18310,2025-11-05T10:30:23Z
2024-05-25,14749,2025-11-05T10:31:44Z
2024-05-26,12258,2025-11-05T10:33:20Z
2024-05-27,12414,2025-11-05T10:35:14Z
2024-05-28,19375,2025-11-05T10:37:13Z
2024-05-29,20381,2025-11-05T10:38:43Z
2024-05-30,24042,2025-11-05T10:40:15Z
2024-05-31,26751,2025-11-05T10:42:00Z
2024-06-01,21257,2025-11-05T10:43:41Z
2024-06-02,19264,2025-11-05T10:45:31Z
2024-06-03,23600,2025-11-05T10:47:21Z
2024-06-04,23345,2025-11-05T10:48:45Z
2024-06-05,22834,2025-11-05T10:50:54Z
2024-06-06,22405,2025-11-05T10:52:52Z
2024-06-07,20547,2025-11-05T10:54:34Z
2024-06-08,16263,2025-11-05T10:56:11Z
2024-06-09,17286,2025-11-05T10:57:55Z
2024-06-10,22825,2025-11-05T10:59:25Z
2024-06-11,23641,2025-11-05T11:01:42Z
2024-06-12,23278,2025-11-05T11:03:30Z
2024-06-13,23255,2025-11-05T11:05:06Z
2024-06-14,21173,2025-11-05T11:06:52Z
2024-06-15,15963,2025-11-05T11:08:34Z
2024-06-16,14099,2025-11-05T11:10:28Z
2024-06-17,19323,2025-11-05T11:12:13Z
2024-06-18,20596,2025-11-05T11:13:56Z
2024-06-19,19317,2025-11-05T11:15:20Z
2024-06-20,22561,2025-11-05T11:17:22Z
2024-06-21,21883,2025-11-05T11:19:04Z
2024-06-22,17889,2025-11-05T11:21:00Z
2024-06-23,17471,2025-11-05T11:22:52Z
2024-06-24,21348,2025-11-05T11:24:28Z
2024-06-25,23375,2025-11-05T11:26:27Z
2024-06-26,23905,2025-11-05T11:28:04Z
2024-06-27,22639,2025-11-05T11:29:22Z
2024-06-28,20224,2025-11-05T11:31:09Z
2024-06-29,14005,2025-11-05T11:33:09Z
2024-06-30,12695,2025-11-05T11:35:00Z
