week_start,records_count,timestamp
2021-03-28,0,2025-11-05T16:09:35Z [FAILED]
2021-04-04,0,2025-11-05T16:11:19Z [FAILED]
2021-04-11,0,2025-11-05T16:12:27Z [FAILED]
2021-04-18,0,2025-11-05T16:13:41Z [FAILED]
2021-04-25,0,2025-11-05T16:14:59Z [FAILED]
2021-05-02,0,2025-11-05T16:16:31Z [FAILED]
2021-05-09,0,2025-11-05T16:17:44Z [FAILED]
2021-05-16,0,2025-11-05T16:18:58Z [FAILED]
2021-05-23,0,2025-11-05T16:20:21Z [FAILED]
2021-05-30,0,2025-11-05T16:21:51Z [FAILED]
2021-06-06,0,2025-11-05T16:23:31Z [FAILED]
2021-06-13,0,2025-11-05T16:24:51Z [FAILED]
2021-06-20,0,2025-11-05T16:26:17Z [FAILED]
2021-06-27,0,2025-11-05T16:27:38Z [FAILED]
2021-07-04,0,2025-11-05T16:28:55Z [FAILED]
2021-07-11,0,2025-11-05T16:30:08Z [FAILED]
2021-07-18,0,2025-11-05T16:31:45Z [FAILED]
2021-07-25,0,2025-11-05T16:33:20Z [FAILED]
2021-08-01,0,2025-11-05T16:34:40Z [FAILED]
2021-08-08,0,2025-11-05T16:36:36Z [FAILED]
2021-08-15,0,2025-11-05T16:37:53Z [FAILED]
2021-08-22,0,2025-11-05T16:39:30Z [FAILED]
2021-08-29,0,2025-11-05T16:40:43Z [FAILED]
2021-09-05,0,2025-11-05T16:42:10Z [FAILED]
2021-09-12,0,2025-11-05T16:43:25Z [FAILED]
2021-09-19,0,2025-11-05T16:44:52Z [FAILED]
2021-09-26,0,2025-11-05T16:46:38Z [FAILED]
2021-10-03,0,2025-11-05T16:48:17Z [FAILED]
