week_start,records_count,timestamp
2022-11-06,0,2025-11-05T16:08:54Z [FAILED]
2022-11-13,0,2025-11-05T16:10:08Z [FAILED]
2022-11-20,0,2025-11-05T16:11:57Z [FAILED]
2022-11-27,0,2025-11-05T16:13:39Z [FAILED]
2022-12-04,0,2025-11-05T16:15:08Z [FAILED]
2022-12-11,0,2025-11-05T16:16:28Z [FAILED]
2022-12-18,0,2025-11-05T16:18:17Z [FAILED]
2022-12-25,0,2025-11-05T16:19:33Z [FAILED]
2023-01-01,0,2025-11-05T16:21:04Z [FAILED]
2023-01-08,0,2025-11-05T16:23:20Z [FAILED]
2023-01-15,0,2025-11-05T16:24:50Z [FAILED]
2023-01-22,0,2025-11-05T16:26:16Z [FAILED]
2023-01-29,0,2025-11-05T16:27:35Z [FAILED]
2023-02-05,0,2025-11-05T16:29:02Z [FAILED]
2023-02-12,0,2025-11-05T16:30:31Z [FAILED]
2023-02-19,0,2025-11-05T16:31:56Z [FAILED]
2023-02-26,0,2025-11-05T16:33:17Z [FAILED]
2023-03-05,0,2025-11-05T16:34:51Z [FAILED]
2023-03-12,0,2025-11-05T16:36:32Z [FAILED]
2023-03-19,0,2025-11-05T16:38:40Z [FAILED]
2023-03-26,0,2025-11-05T16:40:36Z [FAILED]
2023-04-02,0,2025-11-05T16:42:45Z [FAILED]
2023-04-09,0,2025-11-05T16:44:14Z [FAILED]
2023-04-16,0,2025-11-05T16:45:42Z [FAILED]
2023-04-23,0,2025-11-05T16:46:56Z [FAILED]
2023-04-30,0,2025-11-05T16:48:20Z [FAILED]
2023-05-07,0,2025-11-05T16:50:25Z [FAILED]
2023-05-14,0,2025-11-05T16:52:12Z [FAILED]
