date,permits_count,timestamp
2022-07-07,118,2025-11-05T17:26:18Z [SKIPPED]
2022-07-08,95,2025-11-05T17:26:22Z [SKIPPED]
2022-07-09,11,2025-11-05T17:26:25Z [SKIPPED]
2022-07-10,9,2025-11-05T17:26:29Z [SKIPPED]
2022-07-11,205,2025-11-05T17:26:32Z [SKIPPED]
2022-07-12,171,2025-11-05T17:26:35Z [SKIPPED]
2022-07-13,174,2025-11-05T17:26:39Z [SKIPPED]
2022-07-14,196,2025-11-05T17:26:42Z [SKIPPED]
2022-07-15,153,2025-11-05T17:26:45Z [SKIPPED]
2022-07-16,5,2025-11-05T17:26:48Z [SKIPPED]
2022-07-17,14,2025-11-05T17:26:52Z [SKIPPED]
2022-07-18,171,2025-11-05T17:26:55Z [SKIPPED]
2022-07-19,148,2025-11-05T17:26:59Z [SKIPPED]
2022-07-20,157,2025-11-05T17:27:03Z [SKIPPED]
2022-07-21,153,2025-11-05T17:27:06Z [SKIPPED]
2022-07-22,138,2025-11-05T17:27:10Z [SKIPPED]
2022-07-23,13,2025-11-05T17:27:13Z [SKIPPED]
2022-07-24,9,2025-11-05T17:27:17Z [SKIPPED]
2022-07-25,114,2025-11-05T17:27:20Z [SKIPPED]
2022-07-26,212,2025-11-05T17:27:24Z [SKIPPED]
2022-07-27,167,2025-11-05T17:27:27Z [SKIPPED]
2022-07-28,154,2025-11-05T17:27:31Z [SKIPPED]
2022-07-29,173,2025-11-05T17:27:34Z [SKIPPED]
2022-07-30,10,2025-11-05T17:27:38Z [SKIPPED]
2022-07-31,11,2025-11-05T17:27:41Z [SKIPPED]
2022-08-01,135,2025-11-05T17:27:45Z [SKIPPED]
2022-08-02,156,2025-11-05T17:27:48Z [SKIPPED]
2022-08-03,146,2025-11-05T17:27:52Z [SKIPPED]
2022-08-04,152,2025-11-05T17:27:56Z [SKIPPED]
2022-08-05,143,2025-11-05T17:27:59Z [SKIPPED]
2022-08-06,11,2025-11-05T17:28:03Z [SKIPPED]
2022-08-07,13,2025-11-05T17:28:06Z [SKIPPED]
2022-08-08,122,2025-11-05T17:28:10Z [SKIPPED]
2022-08-09,166,2025-11-05T17:28:13Z [SKIPPED]
2022-08-10,177,2025-11-05T17:28:16Z [SKIPPED]
2022-08-11,156,2025-11-05T17:28:20Z [SKIPPED]
2022-08-12,91,2025-11-05T17:28:23Z [SKIPPED]
2022-08-13,13,2025-11-05T17:28:27Z [SKIPPED]
2022-08-14,9,2025-11-05T17:28:30Z [SKIPPED]
2022-08-15,163,2025-11-05T17:28:33Z [SKIPPED]
2022-08-16,129,2025-11-05T17:28:36Z [SKIPPED]
2022-08-17,211,2025-11-05T17:28:40Z [SKIPPED]
2022-08-18,153,2025-11-05T17:28:43Z [SKIPPED]
2022-08-19,131,2025-11-05T17:28:46Z [SKIPPED]
2022-08-20,14,2025-11-05T17:28:50Z [SKIPPED]
2022-08-21,14,2025-11-05T17:28:53Z [SKIPPED]
2022-08-22,170,2025-11-05T17:28:57Z [SKIPPED]
2022-08-23,0,2025-11-05T17:30:19Z [FAILED]
2022-08-24,0,2025-11-05T17:31:55Z [FAILED]
2022-08-25,0,2025-11-05T17:33:20Z [FAILED]
2022-08-26,0,2025-11-05T17:34:35Z [FAILED]
2022-08-27,0,2025-11-05T17:36:02Z [FAILED]
2022-08-28,0,2025-11-05T17:38:04Z [FAILED]
2022-08-29,0,2025-11-05T17:39:38Z [FAILED]
2022-08-30,0,2025-11-05T17:41:11Z [FAILED]
2022-08-31,0,2025-11-05T17:42:31Z [FAILED]
2022-09-01,0,2025-11-05T17:44:06Z [FAILED]
2022-09-02,0,2025-11-05T17:45:25Z [FAILED]
2022-09-03,0,2025-11-05T17:46:42Z [FAILED]
2022-09-04,0,2025-11-05T17:48:38Z [FAILED]
2022-09-05,0,2025-11-05T17:50:10Z [FAILED]
2022-09-06,0,2025-11-05T17:52:06Z [FAILED]
2022-09-07,0,2025-11-05T17:53:16Z [FAILED]
2022-09-08,0,2025-11-05T17:54:56Z [FAILED]
2022-09-09,0,2025-11-05T17:56:18Z [FAILED]
2022-09-10,0,2025-11-05T17:57:29Z [FAILED]
2022-09-11,0,2025-11-05T17:58:40Z [FAILED]
2022-09-12,0,2025-11-05T17:59:56Z [FAILED]
2022-09-13,0,2025-11-05T18:01:03Z [FAILED]
2022-09-14,0,2025-11-05T18:02:37Z [FAILED]
2022-09-15,0,2025-11-05T18:04:20Z [FAILED]
