dataset,date,rows,timestamp
taxi,2020-10-01,6767,2025-11-03T23:42:23Z
taxi,2020-10-02,7099,2025-11-03T23:44:13Z
taxi,2020-10-03,4906,2025-11-03T23:45:52Z
taxi,2020-10-04,4048,2025-11-03T23:47:36Z
taxi,2020-10-05,5964,2025-11-03T23:49:40Z
taxi,2020-10-06,6051,2025-11-03T23:51:26Z
taxi,2020-10-07,5975,2025-11-03T23:53:31Z
taxi,2020-10-08,6518,2025-11-03T23:55:03Z
taxi,2020-10-09,6935,2025-11-03T23:56:32Z
taxi,2020-10-10,4846,2025-11-03T23:58:25Z
taxi,2020-10-11,4009,2025-11-04T00:00:44Z
taxi,2020-10-12,5708,2025-11-04T00:02:31Z
taxi,2020-10-13,6183,2025-11-04T00:04:32Z
taxi,2020-10-14,6114,2025-11-04T00:06:56Z
taxi,2020-10-15,6622,2025-11-04T00:08:52Z
taxi,2020-10-16,6822,2025-11-04T00:10:52Z
taxi,2020-10-17,4638,2025-11-04T00:12:32Z
taxi,2020-10-18,3834,2025-11-04T00:14:27Z
taxi,2020-10-19,6264,2025-11-04T00:16:29Z
taxi,2020-10-20,5991,2025-11-04T00:18:38Z
taxi,2020-10-21,6099,2025-11-04T00:20:09Z
taxi,2020-10-22,6626,2025-11-04T00:21:53Z
taxi,2020-10-23,6757,2025-11-04T00:23:49Z
taxi,2020-10-24,4424,2025-11-04T00:25:43Z
taxi,2020-10-25,3541,2025-11-04T00:27:30Z
taxi,2020-10-26,6085,2025-11-04T00:29:38Z
taxi,2020-10-27,5842,2025-11-04T00:31:11Z
taxi,2020-10-28,6085,2025-11-04T00:32:39Z
taxi,2020-10-29,6370,2025-11-04T00:34:51Z
taxi,2020-10-30,6531,2025-11-04T00:37:05Z
taxi,2020-10-31,4140,2025-11-04T00:38:58Z
taxi,2020-11-01,3315,2025-11-04T00:41:20Z
taxi,2020-11-02,6173,2025-11-04T00:43:08Z
taxi,2020-11-03,5608,2025-11-04T00:44:53Z
taxi,2020-11-04,5196,2025-11-04T00:46:40Z
taxi,2020-11-05,5732,2025-11-04T00:48:43Z
taxi,2020-11-06,5971,2025-11-04T00:50:51Z
taxi,2020-11-07,4135,2025-11-04T00:53:01Z
