dataset,date,rows,timestamp
taxi,2021-07-01,11891,2025-11-04T11:01:49Z
taxi,2021-07-02,12241,2025-11-04T11:03:34Z
taxi,2021-07-03,10403,2025-11-04T11:05:28Z
taxi,2021-07-04,8732,2025-11-04T11:07:22Z
taxi,2021-07-05,10144,2025-11-04T11:09:01Z
taxi,2021-07-06,12232,2025-11-04T11:10:31Z
taxi,2021-07-07,12266,2025-11-04T11:12:08Z
taxi,2021-07-08,13458,2025-11-04T11:13:51Z
taxi,2021-07-09,15079,2025-11-04T11:15:28Z
taxi,2021-07-10,11859,2025-11-04T11:17:29Z
taxi,2021-07-11,10397,2025-11-04T11:19:12Z
taxi,2021-07-12,12006,2025-11-04T11:21:28Z
taxi,2021-07-13,12160,2025-11-04T11:23:34Z
taxi,2021-07-14,12873,2025-11-04T11:24:53Z
taxi,2021-07-15,14278,2025-11-04T11:26:42Z
taxi,2021-07-16,14750,2025-11-04T11:28:47Z
taxi,2021-07-17,12206,2025-11-04T11:30:33Z
taxi,2021-07-18,10871,2025-11-04T11:32:03Z
taxi,2021-07-19,12597,2025-11-04T11:33:44Z
taxi,2021-07-20,11966,2025-11-04T11:35:28Z
taxi,2021-07-21,12907,2025-11-04T11:37:19Z
taxi,2021-07-22,14205,2025-11-04T11:39:02Z
taxi,2021-07-23,15170,2025-11-04T11:40:44Z
taxi,2021-07-24,12463,2025-11-04T11:42:37Z
taxi,2021-07-25,11287,2025-11-04T11:44:34Z
taxi,2021-07-26,13058,2025-11-04T11:46:22Z
taxi,2021-07-27,13005,2025-11-04T11:47:50Z
taxi,2021-07-28,14915,2025-11-04T11:49:36Z
taxi,2021-07-29,15285,2025-11-04T11:51:22Z
taxi,2021-07-30,15102,2025-11-04T11:53:12Z
taxi,2021-07-31,12076,2025-11-04T11:55:12Z
taxi,2021-08-01,11408,2025-11-04T11:56:58Z
taxi,2021-08-02,12730,2025-11-04T11:58:52Z
taxi,2021-08-03,11967,2025-11-04T12:00:39Z
taxi,2021-08-04,12775,2025-11-04T12:02:36Z
