date,taxi_rows,timestamp
2025-07-01,17561,2025-11-05T08:52:46Z
2025-07-02,17615,2025-11-05T08:54:30Z
2025-07-03,16688,2025-11-05T08:56:30Z
2025-07-04,11249,2025-11-05T08:57:58Z
2025-07-05,13929,2025-11-05T08:59:13Z
2025-07-06,13578,2025-11-05T09:00:43Z
2025-07-07,17413,2025-11-05T09:02:39Z
2025-07-08,18852,2025-11-05T09:04:10Z
2025-07-09,19405,2025-11-05T09:05:51Z
2025-07-10,21304,2025-11-05T09:07:57Z
2025-07-11,20649,2025-11-05T09:09:39Z
2025-07-12,15413,2025-11-05T09:11:41Z
2025-07-13,15785,2025-11-05T09:13:09Z
2025-07-14,20952,2025-11-05T09:14:46Z
2025-07-15,22365,2025-11-05T09:16:45Z
2025-07-16,23567,2025-11-05T09:18:09Z
2025-07-17,23789,2025-11-05T09:19:42Z
2025-07-18,22117,2025-11-05T09:21:28Z
2025-07-19,16916,2025-11-05T09:23:08Z
2025-07-20,16834,2025-11-05T09:24:44Z
2025-07-21,20382,2025-11-05T09:26:47Z
2025-07-22,21644,2025-11-05T09:28:21Z
2025-07-23,23034,2025-11-05T09:30:04Z
2025-07-24,21984,2025-11-05T09:32:05Z
2025-07-25,19420,2025-11-05T09:33:47Z
2025-07-26,15223,2025-11-05T09:35:26Z
2025-07-27,14703,2025-11-05T09:39:18Z
2025-07-28,20316,2025-11-05T09:41:04Z
2025-07-29,21106,2025-11-05T09:42:57Z
2025-07-30,23453,2025-11-05T09:44:10Z
2025-07-31,22121,2025-11-05T09:45:55Z
2025-08-01,20500,2025-11-05T09:48:03Z
2025-08-02,15380,2025-11-05T09:49:57Z
2025-08-03,15184,2025-11-05T09:51:50Z
2025-08-04,20919,2025-11-05T09:53:15Z
2025-08-05,19908,2025-11-05T09:55:22Z
2025-08-06,20794,2025-11-05T09:57:09Z
2025-08-07,21123,2025-11-05T09:58:59Z
2025-08-08,19226,2025-11-05T10:01:32Z
2025-08-09,16519,2025-11-05T10:03:11Z
2025-08-10,15450,2025-11-05T10:05:12Z
2025-08-11,20055,2025-11-05T10:06:46Z
2025-08-12,20947,2025-11-05T10:08:46Z
2025-08-13,21039,2025-11-05T10:10:17Z
2025-08-14,21991,2025-11-05T10:11:43Z
2025-08-15,21933,2025-11-05T10:13:13Z
2025-08-16,17644,2025-11-05T10:14:54Z
2025-08-17,17769,2025-11-05T10:16:31Z
2025-08-18,20934,2025-11-05T10:18:16Z
2025-08-19,22591,2025-11-05T10:20:29Z
2025-08-20,21007,2025-11-05T10:22:41Z
2025-08-21,20849,2025-11-05T10:24:03Z
2025-08-22,17720,2025-11-05T10:25:37Z
2025-08-23,13560,2025-11-05T10:27:27Z
2025-08-24,13603,2025-11-05T10:29:14Z
2025-08-25,17538,2025-11-05T10:30:46Z
2025-08-26,17919,2025-11-05T10:32:22Z
2025-08-27,19840,2025-11-05T10:33:43Z
2025-08-28,22340,2025-11-05T10:35:19Z
2025-08-29,20765,2025-11-05T10:37:21Z
2025-08-30,15606,2025-11-05T10:39:01Z
2025-08-31,14955,2025-11-05T10:40:40Z
2025-09-01,14787,2025-11-05T10:42:12Z
2025-09-02,18814,2025-11-05T10:43:52Z
2025-09-03,19234,2025-11-05T10:45:33Z
2025-09-04,19649,2025-11-05T10:47:07Z
2025-09-05,19692,2025-11-05T10:48:44Z
2025-09-06,15380,2025-11-05T10:50:29Z
2025-09-07,16442,2025-11-05T10:52:03Z
2025-09-08,22226,2025-11-05T10:53:59Z
2025-09-09,22835,2025-11-05T10:55:39Z
2025-09-10,23920,2025-11-05T10:57:41Z
2025-09-11,23550,2025-11-05T10:59:32Z
2025-09-12,21841,2025-11-05T11:01:45Z
2025-09-13,15750,2025-11-05T11:03:24Z
2025-09-14,16499,2025-11-05T11:05:33Z
2025-09-15,21380,2025-11-05T11:07:23Z
2025-09-16,21821,2025-11-05T11:08:55Z
2025-09-17,24579,2025-11-05T11:11:37Z
2025-09-18,26230,2025-11-05T11:13:10Z
2025-09-19,25287,2025-11-05T11:15:28Z
2025-09-20,18544,2025-11-05T11:17:01Z
2025-09-21,17856,2025-11-05T11:18:41Z
2025-09-22,20046,2025-11-05T11:20:13Z
2025-09-23,20495,2025-11-05T11:22:17Z
2025-09-24,23065,2025-11-05T11:24:10Z
2025-09-25,25515,2025-11-05T11:26:10Z
2025-09-26,23174,2025-11-05T11:28:00Z
2025-09-27,18352,2025-11-05T11:30:27Z
2025-09-28,18786,2025-11-05T11:32:27Z
2025-09-29,23097,2025-11-05T11:34:07Z
2025-09-30,24786,2025-11-05T11:35:47Z
2025-10-01,36,2025-11-05T11:37:29Z
