dataset,date,rows,timestamp
taxi,2021-01-01,2879,2025-11-04T11:01:40Z
taxi,2021-01-02,4408,2025-11-04T11:03:20Z
taxi,2021-01-03,3916,2025-11-04T11:05:37Z
taxi,2021-01-04,5991,2025-11-04T11:07:16Z
taxi,2021-01-05,5465,2025-11-04T11:09:00Z
taxi,2021-01-06,5201,2025-11-04T11:10:36Z
taxi,2021-01-07,5329,2025-11-04T11:12:15Z
taxi,2021-01-08,5390,2025-11-04T11:14:00Z
taxi,2021-01-09,3939,2025-11-04T11:16:02Z
taxi,2021-01-10,3109,2025-11-04T11:18:14Z
taxi,2021-01-11,5640,2025-11-04T11:19:45Z
taxi,2021-01-12,5300,2025-11-04T11:21:51Z
taxi,2021-01-13,5444,2025-11-04T11:24:01Z
taxi,2021-01-14,5742,2025-11-04T11:26:00Z
taxi,2021-01-15,5613,2025-11-04T11:28:13Z
taxi,2021-01-16,3710,2025-11-04T11:30:04Z
taxi,2021-01-17,2859,2025-11-04T11:31:56Z
taxi,2021-01-18,4924,2025-11-04T11:33:41Z
taxi,2021-01-19,5424,2025-11-04T11:35:22Z
taxi,2021-01-20,4970,2025-11-04T11:36:49Z
taxi,2021-01-21,5316,2025-11-04T11:38:24Z
taxi,2021-01-22,5635,2025-11-04T11:40:12Z
taxi,2021-01-23,3885,2025-11-04T11:41:58Z
taxi,2021-01-24,3175,2025-11-04T11:43:39Z
taxi,2021-01-25,5500,2025-11-04T11:45:32Z
taxi,2021-01-26,4479,2025-11-04T11:47:12Z
taxi,2021-01-27,5335,2025-11-04T11:49:08Z
taxi,2021-01-28,5912,2025-11-04T11:50:42Z
taxi,2021-01-29,5972,2025-11-04T11:52:56Z
taxi,2021-01-30,3985,2025-11-04T11:54:34Z
taxi,2021-01-31,2745,2025-11-04T11:56:23Z
taxi,2021-02-01,5941,2025-11-04T11:58:24Z
taxi,2021-02-02,5767,2025-11-04T12:00:14Z
taxi,2021-02-03,6146,2025-11-04T12:02:19Z
taxi,2021-02-04,5922,2025-11-04T12:04:32Z
taxi,2021-02-05,5945,2025-11-04T12:06:33Z
taxi,2021-02-06,4124,2025-11-04T12:08:19Z
taxi,2021-02-07,3506,2025-11-04T12:09:51Z
taxi,2021-02-08,6246,2025-11-04T12:11:35Z
taxi,2021-02-09,5907,2025-11-04T12:13:50Z
taxi,2021-02-10,6213,2025-11-04T12:15:36Z
taxi,2021-02-11,6389,2025-11-04T12:17:11Z
taxi,2021-02-12,6771,2025-11-04T12:19:01Z
taxi,2021-02-13,5169,2025-11-04T12:25:13Z
taxi,2021-02-14,3945,2025-11-04T12:27:10Z
taxi,2021-02-15,4883,2025-11-04T12:28:37Z
taxi,2021-02-16,4422,2025-11-04T12:30:31Z
taxi,2021-02-17,6178,2025-11-04T12:32:32Z
taxi,2021-02-18,6655,2025-11-04T12:34:24Z
taxi,2021-02-19,6900,2025-11-04T12:36:05Z
taxi,2021-02-20,4500,2025-11-04T12:37:28Z
taxi,2021-02-21,3541,2025-11-04T12:39:14Z
taxi,2021-02-22,6167,2025-11-04T12:40:52Z
taxi,2021-02-23,6283,2025-11-04T12:42:24Z
taxi,2021-02-24,6065,2025-11-04T12:43:59Z
taxi,2021-02-25,6308,2025-11-04T12:45:48Z
taxi,2021-02-26,6637,2025-11-04T12:51:46Z
taxi,2021-02-27,4798,2025-11-04T12:53:47Z
taxi,2021-02-28,3933,2025-11-04T12:55:17Z
taxi,2021-03-01,6504,2025-11-04T12:57:07Z
taxi,2021-03-02,6072,2025-11-04T12:58:49Z
taxi,2021-03-03,6676,2025-11-04T13:00:31Z
taxi,2021-03-04,6969,2025-11-04T13:03:00Z
taxi,2021-03-05,7050,2025-11-04T13:04:43Z
taxi,2021-03-06,4908,2025-11-04T13:06:13Z
taxi,2021-03-07,4245,2025-11-04T13:07:53Z
taxi,2021-03-08,6449,2025-11-04T13:09:44Z
