dataset,date,rows,timestamp
taxi,2022-07-01,19188,2025-11-04T20:15:02Z
taxi,2022-07-02,15092,2025-11-04T20:17:14Z
taxi,2022-07-03,12700,2025-11-04T20:19:08Z
taxi,2022-07-04,11977,2025-11-04T20:20:53Z
taxi,2022-07-05,16282,2025-11-04T20:23:08Z
taxi,2022-07-06,16812,2025-11-04T20:25:30Z
taxi,2022-07-07,18408,2025-11-04T20:27:36Z
taxi,2022-07-08,18283,2025-11-04T20:29:12Z
taxi,2022-07-09,15473,2025-11-04T20:30:53Z
taxi,2022-07-10,16097,2025-11-04T20:32:50Z
taxi,2022-07-11,20545,2025-11-04T20:35:20Z
taxi,2022-07-12,21383,2025-11-04T20:37:02Z
taxi,2022-07-13,21639,2025-11-04T20:39:32Z
taxi,2022-07-14,22512,2025-11-04T20:41:13Z
taxi,2022-07-15,22304,2025-11-04T20:42:52Z
taxi,2022-07-16,17165,2025-11-04T20:44:39Z
taxi,2022-07-17,15701,2025-11-04T20:46:29Z
taxi,2022-07-18,19137,2025-11-04T20:48:23Z
taxi,2022-07-19,20695,2025-11-04T20:50:06Z
taxi,2022-07-20,22079,2025-11-04T20:52:12Z
taxi,2022-07-21,21749,2025-11-04T20:54:08Z
taxi,2022-07-22,20625,2025-11-04T20:56:05Z
taxi,2022-07-23,16723,2025-11-04T20:58:13Z
taxi,2022-07-24,15996,2025-11-04T21:00:24Z
taxi,2022-07-25,20652,2025-11-04T21:02:20Z
taxi,2022-07-26,21166,2025-11-04T21:04:52Z
taxi,2022-07-27,21702,2025-11-04T21:07:03Z
taxi,2022-07-28,21150,2025-11-04T21:09:16Z
taxi,2022-07-30,15648,2025-11-04T21:14:04Z
taxi,2022-07-31,14221,2025-11-04T21:16:07Z
taxi,2022-08-01,18145,2025-11-04T21:18:15Z
taxi,2022-08-02,17966,2025-11-04T21:20:33Z
taxi,2022-08-03,18747,2025-11-04T21:22:37Z
taxi,2022-08-04,22420,2025-11-04T21:24:40Z
taxi,2022-08-05,22804,2025-11-04T21:26:40Z
taxi,2022-08-06,19093,2025-11-04T21:28:31Z
taxi,2022-08-07,16209,2025-11-04T21:30:38Z
taxi,2022-08-08,19878,2025-11-04T21:32:44Z
taxi,2022-08-09,19438,2025-11-04T21:34:47Z
taxi,2022-08-10,19817,2025-11-04T21:36:48Z
taxi,2022-08-11,20590,2025-11-04T21:38:44Z
taxi,2022-08-12,19693,2025-11-04T21:40:35Z
taxi,2022-08-13,16744,2025-11-04T21:42:15Z
taxi,2022-08-14,14523,2025-11-04T21:43:43Z
taxi,2022-08-15,19718,2025-11-04T21:45:14Z
taxi,2022-08-16,19323,2025-11-04T21:47:00Z
taxi,2022-08-17,20022,2025-11-04T21:48:47Z
taxi,2022-08-18,21655,2025-11-04T21:50:34Z
taxi,2022-08-19,22427,2025-11-04T21:52:43Z
taxi,2022-08-20,18180,2025-11-04T21:54:38Z
taxi,2022-08-21,16150,2025-11-04T21:56:41Z
taxi,2022-08-22,19022,2025-11-04T21:58:15Z
taxi,2022-08-23,20391,2025-11-04T21:59:51Z
taxi,2022-08-24,20741,2025-11-04T22:02:11Z
taxi,2022-08-25,21357,2025-11-04T22:04:45Z
taxi,2022-08-26,19867,2025-11-04T22:06:49Z
taxi,2022-08-27,15535,2025-11-04T22:08:23Z
taxi,2022-08-28,14646,2025-11-04T22:10:15Z
taxi,2022-08-29,17878,2025-11-04T22:12:19Z
taxi,2022-08-30,18158,2025-11-04T22:14:00Z
taxi,2022-08-31,17896,2025-11-04T22:16:15Z
taxi,2022-09-01,19237,2025-11-04T22:18:26Z
taxi,2022-09-02,19176,2025-11-04T22:20:19Z
taxi,2022-09-03,15623,2025-11-04T22:22:22Z
taxi,2022-09-04,13846,2025-11-04T22:24:18Z
taxi,2022-09-05,12747,2025-11-04T22:26:00Z
taxi,2022-09-06,18832,2025-11-04T22:27:56Z
taxi,2022-09-07,19728,2025-11-04T22:29:50Z
taxi,2022-09-08,21154,2025-11-04T22:31:49Z
taxi,2022-09-09,21905,2025-11-04T22:34:03Z
taxi,2022-09-10,18204,2025-11-04T22:36:02Z
taxi,2022-09-11,17938,2025-11-04T22:37:53Z
taxi,2022-09-12,23364,2025-11-04T22:39:52Z
taxi,2022-09-13,24199,2025-11-04T22:41:58Z
taxi,2022-09-14,25533,2025-11-04T22:44:03Z
taxi,2022-09-15,25641,2025-11-04T22:46:06Z
taxi,2022-09-16,23903,2025-11-04T22:48:52Z
taxi,2022-09-17,17828,2025-11-04T22:50:23Z
taxi,2022-09-18,16998,2025-11-04T22:52:18Z
taxi,2022-09-19,20544,2025-11-04T22:54:06Z
taxi,2022-09-20,22007,2025-11-04T22:56:38Z
taxi,2022-09-21,22614,2025-11-04T22:58:31Z
taxi,2022-09-22,23247,2025-11-04T23:00:05Z
taxi,2022-09-23,21891,2025-11-04T23:02:25Z
taxi,2022-09-24,15489,2025-11-04T23:04:32Z
taxi,2022-09-25,15337,2025-11-04T23:06:07Z
taxi,2022-09-26,17711,2025-11-04T23:08:07Z
taxi,2022-09-27,20914,2025-11-04T23:09:55Z
taxi,2022-09-28,22434,2025-11-04T23:12:07Z
taxi,2022-09-29,25074,2025-11-04T23:14:15Z
taxi,2022-09-30,25389,2025-11-04T23:16:17Z
tnp,2022-07-01,211547,2025-11-04T23:19:37Z
tnp,2022-07-02,232766,2025-11-04T23:22:12Z
tnp,2022-07-03,208716,2025-11-04T23:25:03Z
tnp,2022-07-04,141849,2025-11-04T23:27:06Z
tnp,2022-07-05,140783,2025-11-04T23:29:04Z
tnp,2022-07-06,148076,2025-11-04T23:31:25Z
tnp,2022-07-07,167986,2025-11-04T23:33:34Z
tnp,2022-07-08,212956,2025-11-04T23:36:04Z
tnp,2022-07-09,243760,2025-11-04T23:39:15Z
tnp,2022-07-10,198897,2025-11-04T23:42:00Z
tnp,2022-07-11,160250,2025-11-04T23:44:20Z
tnp,2022-07-12,167685,2025-11-04T23:46:58Z
tnp,2022-07-13,175578,2025-11-04T23:49:50Z
tnp,2022-07-14,188859,2025-11-04T23:53:05Z
tnp,2022-07-15,235847,2025-11-04T23:55:49Z
tnp,2022-07-16,257418,2025-11-04T23:58:21Z
tnp,2022-07-17,199790,2025-11-05T00:00:44Z
tnp,2022-07-18,155211,2025-11-05T00:03:08Z
tnp,2022-07-19,161282,2025-11-05T00:07:07Z
tnp,2022-07-20,175967,2025-11-05T00:09:32Z
tnp,2022-07-21,190718,2025-11-05T00:11:53Z
tnp,2022-07-22,230074,2025-11-05T00:13:59Z
tnp,2022-07-23,261396,2025-11-05T00:16:12Z
tnp,2022-07-24,199439,2025-11-05T00:18:22Z
tnp,2022-07-25,162092,2025-11-05T00:20:49Z
tnp,2022-07-26,169585,2025-11-05T00:22:58Z
tnp,2022-07-27,182761,2025-11-05T00:25:39Z
tnp,2022-07-28,197526,2025-11-05T00:28:32Z
tnp,2022-07-29,231579,2025-11-05T00:31:10Z
tnp,2022-07-30,259483,2025-11-05T00:34:02Z
tnp,2022-07-31,208416,2025-11-05T00:37:17Z
tnp,2022-08-01,153774,2025-11-05T00:43:16Z
tnp,2022-08-02,154892,2025-11-05T00:47:05Z
tnp,2022-08-03,169946,2025-11-05T00:49:43Z
tnp,2022-08-04,191995,2025-11-05T00:52:15Z
tnp,2022-08-05,232471,2025-11-05T00:55:11Z
tnp,2022-08-06,267126,2025-11-05T00:58:00Z
