week_start,records_count,timestamp
2023-12-03,0,2025-11-05T16:09:08Z [FAILED]
2023-12-10,0,2025-11-05T16:11:10Z [FAILED]
2023-12-17,0,2025-11-05T16:12:23Z [FAILED]
2023-12-24,0,2025-11-05T16:13:39Z [FAILED]
2023-12-31,0,2025-11-05T16:15:32Z [FAILED]
2024-01-07,0,2025-11-05T16:17:43Z [FAILED]
2024-01-14,0,2025-11-05T16:18:59Z [FAILED]
2024-01-21,59,2025-11-05T16:19:03Z [SKIPPED]
2024-01-28,0,2025-11-05T16:20:16Z [FAILED]
2024-02-04,0,2025-11-05T16:21:35Z [FAILED]
2024-02-11,0,2025-11-05T16:23:01Z [FAILED]
2024-02-18,0,2025-11-05T16:24:30Z [FAILED]
2024-02-25,0,2025-11-05T16:26:18Z [FAILED]
2024-03-03,0,2025-11-05T16:27:39Z [FAILED]
2024-03-10,0,2025-11-05T16:29:22Z [FAILED]
2024-03-17,0,2025-11-05T16:31:34Z [FAILED]
2024-03-24,0,2025-11-05T16:33:12Z [FAILED]
2024-03-31,0,2025-11-05T16:34:27Z [FAILED]
2024-04-07,0,2025-11-05T16:35:54Z [FAILED]
2024-04-14,0,2025-11-05T16:37:50Z [FAILED]
2024-04-21,0,2025-11-05T16:39:16Z [FAILED]
2024-04-28,0,2025-11-05T16:40:43Z [FAILED]
2024-05-05,0,2025-11-05T16:42:43Z [FAILED]
2024-05-12,0,2025-11-05T16:44:22Z [FAILED]
2024-05-19,0,2025-11-05T16:45:40Z [FAILED]
