dataset,date,rows,timestamp
tnp,2022-01-20,161126,2025-11-04T23:56:16Z
tnp,2022-01-21,196693,2025-11-04T23:59:07Z
tnp,2022-01-22,223825,2025-11-05T00:02:25Z
tnp,2022-01-23,155103,2025-11-05T00:05:16Z
tnp,2022-01-24,118185,2025-11-05T00:07:32Z
tnp,2022-01-25,136845,2025-11-05T00:10:10Z
tnp,2022-01-26,149513,2025-11-05T00:12:58Z
tnp,2022-01-27,153883,2025-11-05T00:15:24Z
tnp,2022-01-28,179582,2025-11-05T00:17:48Z
tnp,2022-01-29,221509,2025-11-05T00:20:15Z
tnp,2022-01-30,158550,2025-11-05T00:22:07Z
tnp,2022-01-31,132493,2025-11-05T00:24:13Z
tnp,2022-02-01,136354,2025-11-05T00:26:41Z
tnp,2022-02-02,90750,2025-11-05T00:28:55Z
tnp,2022-02-03,141634,2025-11-05T00:31:25Z
tnp,2022-02-04,187122,2025-11-05T00:34:16Z
tnp,2022-02-05,232820,2025-11-05T00:38:11Z
tnp,2022-02-06,162032,2025-11-05T00:41:53Z
tnp,2022-02-07,136163,2025-11-05T00:44:53Z
tnp,2022-02-08,137966,2025-11-05T00:47:16Z
tnp,2022-02-09,145685,2025-11-05T00:49:32Z
tnp,2022-02-10,162790,2025-11-05T00:52:14Z
tnp,2022-02-11,202642,2025-11-05T00:54:21Z
tnp,2022-02-12,240507,2025-11-05T00:56:27Z
tnp,2022-02-13,183544,2025-11-05T00:58:42Z
tnp,2022-02-14,154077,2025-11-05T01:01:48Z
tnp,2022-02-15,141787,2025-11-05T01:05:06Z
tnp,2022-02-16,150020,2025-11-05T01:07:39Z
tnp,2022-02-17,142152,2025-11-05T01:09:39Z
tnp,2022-02-18,200647,2025-11-05T01:12:42Z
tnp,2022-02-19,237575,2025-11-05T01:14:48Z
tnp,2022-02-20,170135,2025-11-05T01:17:08Z
tnp,2022-02-21,130262,2025-11-05T01:19:40Z
tnp,2022-02-22,150889,2025-11-05T01:22:14Z
tnp,2022-02-23,160374,2025-11-05T01:24:28Z
tnp,2022-02-24,173752,2025-11-05T01:27:16Z
tnp,2022-02-25,202025,2025-11-05T01:29:58Z
tnp,2022-02-26,236947,2025-11-05T01:33:17Z
tnp,2022-02-27,168110,2025-11-05T01:35:40Z
tnp,2022-02-28,140047,2025-11-05T01:38:13Z
tnp,2022-03-01,146626,2025-11-05T01:40:55Z
tnp,2022-03-02,156347,2025-11-05T01:43:02Z
tnp,2022-03-03,175974,2025-11-05T01:45:49Z
tnp,2022-03-04,213814,2025-11-05T01:47:51Z
tnp,2022-03-05,240084,2025-11-05T01:50:09Z
tnp,2022-03-06,175372,2025-11-05T01:52:47Z
tnp,2022-03-07,148128,2025-11-05T01:55:23Z
tnp,2022-03-08,152383,2025-11-05T01:57:54Z
tnp,2022-03-09,164533,2025-11-05T02:00:11Z
tnp,2022-03-10,188384,2025-11-05T02:03:12Z
tnp,2022-03-11,247295,2025-11-05T02:06:43Z
tnp,2022-03-12,332045,2025-11-05T02:12:36Z
tnp,2022-03-13,192070,2025-11-05T02:18:10Z
tnp,2022-03-14,148560,2025-11-05T02:21:11Z
tnp,2022-03-15,156561,2025-11-05T02:23:37Z
tnp,2022-03-16,161934,2025-11-05T02:28:01Z
tnp,2022-03-17,186663,2025-11-05T02:33:20Z
tnp,2022-03-18,238117,2025-11-05T02:37:24Z
tnp,2022-03-19,252023,2025-11-05T02:40:31Z
tnp,2022-03-20,181929,2025-11-05T02:42:48Z
tnp,2022-03-21,137737,2025-11-05T02:45:40Z
tnp,2022-03-22,152251,2025-11-05T02:48:08Z
tnp,2022-03-23,165338,2025-11-05T02:50:28Z
tnp,2022-03-24,180125,2025-11-05T02:53:24Z
tnp,2022-03-25,223082,2025-11-05T02:56:10Z
tnp,2022-03-26,260985,2025-11-05T02:58:32Z
tnp,2022-03-27,190327,2025-11-05T03:01:06Z
tnp,2022-03-28,152163,2025-11-05T03:04:07Z
tnp,2022-03-29,154742,2025-11-05T03:07:11Z
tnp,2022-03-30,175268,2025-11-05T03:10:17Z
tnp,2022-03-31,186739,2025-11-05T03:12:47Z
