date,taxi_rows,timestamp
2025-01-01,9285,2025-11-05T08:52:08Z
2025-01-02,11934,2025-11-05T08:53:46Z
2025-01-03,13329,2025-11-05T08:55:31Z
2025-01-04,10281,2025-11-05T08:56:59Z
2025-01-05,9154,2025-11-05T08:59:01Z
2025-01-06,14017,2025-11-05T09:00:39Z
2025-01-07,14779,2025-11-05T09:02:50Z
2025-01-08,15596,2025-11-05T09:04:18Z
2025-01-09,15505,2025-11-05T09:06:16Z
2025-01-10,14795,2025-11-05T09:08:33Z
2025-01-11,9705,2025-11-05T09:10:10Z
2025-01-12,8865,2025-11-05T09:12:10Z
2025-01-13,15174,2025-11-05T09:13:52Z
2025-01-14,16448,2025-11-05T09:16:01Z
2025-01-15,17161,2025-11-05T09:17:46Z
2025-01-16,16551,2025-11-05T09:19:38Z
2025-01-17,15052,2025-11-05T09:21:23Z
2025-01-18,9793,2025-11-05T09:23:18Z
2025-01-19,8560,2025-11-05T09:24:53Z
2025-01-20,11672,2025-11-05T09:26:24Z
2025-01-21,15206,2025-11-05T09:28:17Z
2025-01-22,17127,2025-11-05T09:29:39Z
2025-01-23,18282,2025-11-05T09:31:23Z
2025-01-24,15898,2025-11-05T09:33:09Z
2025-01-25,10055,2025-11-05T09:35:13Z
2025-01-26,9228,2025-11-05T09:36:41Z
2025-01-27,29716,2025-11-05T09:43:24Z
2025-01-28,15916,2025-11-05T09:44:55Z
2025-01-29,16223,2025-11-05T09:46:26Z
2025-01-30,17774,2025-11-05T09:47:40Z
2025-01-31,16704,2025-11-05T09:49:21Z
2025-02-01,10440,2025-11-05T09:51:13Z
2025-02-02,9800,2025-11-05T09:52:53Z
2025-02-03,15362,2025-11-05T09:54:28Z
2025-02-04,16999,2025-11-05T09:56:31Z
2025-02-05,16920,2025-11-05T09:58:21Z
2025-02-06,18093,2025-11-05T09:59:51Z
2025-02-07,15716,2025-11-05T10:01:37Z
2025-02-08,10643,2025-11-05T10:03:31Z
2025-02-09,10736,2025-11-05T10:05:20Z
2025-02-10,16156,2025-11-05T10:06:58Z
2025-02-11,17823,2025-11-05T10:08:44Z
2025-02-12,15074,2025-11-05T10:10:24Z
2025-02-13,19424,2025-11-05T10:12:37Z
2025-02-14,19810,2025-11-05T10:14:17Z
2025-02-15,12841,2025-11-05T10:16:04Z
2025-02-16,11055,2025-11-05T10:17:48Z
2025-02-17,15108,2025-11-05T10:19:45Z
2025-02-18,18904,2025-11-05T10:22:05Z
2025-02-19,20201,2025-11-05T10:23:28Z
2025-02-20,21532,2025-11-05T10:25:06Z
2025-02-21,19192,2025-11-05T10:26:40Z
2025-02-22,14390,2025-11-05T10:28:16Z
2025-02-23,11852,2025-11-05T10:29:36Z
2025-02-24,16761,2025-11-05T10:31:35Z
2025-02-25,17144,2025-11-05T10:33:20Z
2025-02-26,19235,2025-11-05T10:35:31Z
2025-02-27,20048,2025-11-05T10:37:16Z
2025-02-28,18615,2025-11-05T10:40:27Z
2025-03-01,14799,2025-11-05T10:42:05Z
2025-03-02,13248,2025-11-05T10:44:03Z
2025-03-03,18574,2025-11-05T10:46:07Z
2025-03-04,21394,2025-11-05T10:47:59Z
2025-03-05,20869,2025-11-05T10:49:58Z
2025-03-06,20569,2025-11-05T10:52:10Z
2025-03-07,18899,2025-11-05T10:53:55Z
2025-03-08,12999,2025-11-05T10:55:36Z
2025-03-09,12106,2025-11-05T10:57:27Z
2025-03-10,17004,2025-11-05T10:59:18Z
2025-03-11,19307,2025-11-05T11:00:57Z
2025-03-12,20071,2025-11-05T11:02:40Z
2025-03-13,21260,2025-11-05T11:04:49Z
2025-03-14,20468,2025-11-05T11:06:42Z
2025-03-15,19527,2025-11-05T11:08:15Z
2025-03-16,15446,2025-11-05T11:10:37Z
2025-03-17,22546,2025-11-05T11:13:11Z
2025-03-18,22252,2025-11-05T11:15:12Z
2025-03-19,23216,2025-11-05T11:16:41Z
2025-03-20,23206,2025-11-05T11:18:38Z
2025-03-21,18743,2025-11-05T11:20:15Z
2025-03-22,13437,2025-11-05T11:22:00Z
2025-03-23,13316,2025-11-05T11:24:04Z
2025-03-24,16190,2025-11-05T11:25:51Z
2025-03-25,17029,2025-11-05T11:27:40Z
2025-03-26,18171,2025-11-05T11:29:20Z
2025-03-27,19027,2025-11-05T11:31:08Z
2025-03-28,19267,2025-11-05T11:33:07Z
2025-03-29,15727,2025-11-05T11:35:04Z
2025-03-30,14339,2025-11-05T11:37:00Z
2025-03-31,19664,2025-11-05T11:38:45Z
