dataset,date,rows,timestamp
taxi,2022-10-01,18386,2025-11-04T20:15:30Z
taxi,2022-10-02,16443,2025-11-04T20:17:59Z
taxi,2022-10-03,19650,2025-11-04T20:19:54Z
taxi,2022-10-04,18608,2025-11-04T20:21:55Z
taxi,2022-10-05,18429,2025-11-04T20:23:50Z
taxi,2022-10-06,22150,2025-11-04T20:26:31Z
taxi,2022-10-07,24289,2025-11-04T20:28:42Z
taxi,2022-10-08,17089,2025-11-04T20:30:18Z
taxi,2022-10-09,14420,2025-11-04T20:32:04Z
taxi,2022-10-10,21173,2025-11-04T20:34:15Z
taxi,2022-10-11,23688,2025-11-04T20:36:11Z
taxi,2022-10-12,23986,2025-11-04T20:38:16Z
taxi,2022-10-13,23736,2025-11-04T20:39:57Z
taxi,2022-10-14,22865,2025-11-04T20:42:10Z
taxi,2022-10-15,15495,2025-11-04T20:44:24Z
taxi,2022-10-16,14222,2025-11-04T20:46:22Z
taxi,2022-10-17,19806,2025-11-04T20:48:20Z
taxi,2022-10-18,20116,2025-11-04T20:50:28Z
taxi,2022-10-19,21066,2025-11-04T20:52:41Z
taxi,2022-10-20,22094,2025-11-04T20:54:57Z
taxi,2022-10-21,21600,2025-11-04T20:56:58Z
taxi,2022-10-22,17878,2025-11-04T20:59:02Z
taxi,2022-10-23,17645,2025-11-04T21:01:26Z
taxi,2022-10-24,24058,2025-11-04T21:04:14Z
taxi,2022-10-25,23635,2025-11-04T21:06:46Z
taxi,2022-10-26,23314,2025-11-04T21:08:43Z
taxi,2022-10-27,21300,2025-11-04T21:10:41Z
taxi,2022-10-28,19106,2025-11-04T21:12:36Z
taxi,2022-10-29,13850,2025-11-04T21:14:57Z
taxi,2022-10-30,12118,2025-11-04T21:16:36Z
taxi,2022-10-31,14498,2025-11-04T21:18:37Z
taxi,2022-11-01,19337,2025-11-04T21:20:42Z
taxi,2022-11-02,19360,2025-11-04T21:22:35Z
taxi,2022-11-03,21312,2025-11-04T21:24:34Z
taxi,2022-11-04,22429,2025-11-04T21:27:04Z
taxi,2022-11-05,16521,2025-11-04T21:29:04Z
taxi,2022-11-06,16183,2025-11-04T21:30:43Z
taxi,2022-11-07,19928,2025-11-04T21:32:38Z
taxi,2022-11-08,17970,2025-11-04T21:34:36Z
taxi,2022-11-09,19747,2025-11-04T21:36:18Z
taxi,2022-11-10,21100,2025-11-04T21:38:46Z
taxi,2022-11-11,18618,2025-11-04T21:40:33Z
taxi,2022-11-12,14808,2025-11-04T21:42:16Z
taxi,2022-11-13,15332,2025-11-04T21:43:58Z
taxi,2022-11-14,19901,2025-11-04T21:46:12Z
taxi,2022-11-15,21872,2025-11-04T21:48:11Z
taxi,2022-11-16,22193,2025-11-04T21:49:58Z
taxi,2022-11-17,22870,2025-11-04T21:51:47Z
taxi,2022-11-18,22276,2025-11-04T21:53:49Z
taxi,2022-11-19,13915,2025-11-04T21:56:06Z
taxi,2022-11-20,11315,2025-11-04T21:58:01Z
taxi,2022-11-21,14429,2025-11-04T21:59:40Z
taxi,2022-11-22,14985,2025-11-04T22:01:48Z
taxi,2022-11-23,13845,2025-11-04T22:04:05Z
taxi,2022-11-24,8121,2025-11-04T22:05:36Z
taxi,2022-11-25,12725,2025-11-04T22:07:49Z
taxi,2022-11-26,17709,2025-11-04T22:09:28Z
taxi,2022-11-27,16879,2025-11-04T22:11:36Z
taxi,2022-11-28,21233,2025-11-04T22:13:13Z
taxi,2022-11-29,22527,2025-11-04T22:14:59Z
taxi,2022-11-30,23348,2025-11-04T22:16:46Z
taxi,2022-12-01,22396,2025-11-04T22:19:01Z
taxi,2022-12-02,20326,2025-11-04T22:20:48Z
taxi,2022-12-03,16002,2025-11-04T22:22:43Z
taxi,2022-12-04,13894,2025-11-04T22:25:00Z
taxi,2022-12-05,16738,2025-11-04T22:27:06Z
taxi,2022-12-06,18548,2025-11-04T22:28:36Z
taxi,2022-12-07,19915,2025-11-04T22:30:27Z
taxi,2022-12-08,21688,2025-11-04T22:32:11Z
taxi,2022-12-09,22712,2025-11-04T22:33:51Z
taxi,2022-12-10,16053,2025-11-04T22:35:39Z
taxi,2022-12-11,13106,2025-11-04T22:37:36Z
taxi,2022-12-12,17545,2025-11-04T22:39:21Z
taxi,2022-12-13,20424,2025-11-04T22:41:28Z
taxi,2022-12-14,22213,2025-11-04T22:43:30Z
taxi,2022-12-15,21900,2025-11-04T22:45:47Z
taxi,2022-12-16,21445,2025-11-04T22:48:21Z
taxi,2022-12-17,16210,2025-11-04T22:49:56Z
taxi,2022-12-18,13807,2025-11-04T22:51:55Z
taxi,2022-12-19,15935,2025-11-04T22:53:47Z
taxi,2022-12-20,17200,2025-11-04T22:55:49Z
taxi,2022-12-21,18130,2025-11-04T22:57:53Z
taxi,2022-12-22,11716,2025-11-04T22:59:35Z
taxi,2022-12-23,9950,2025-11-04T23:01:57Z
taxi,2022-12-24,9689,2025-11-04T23:03:54Z
taxi,2022-12-25,5748,2025-11-04T23:05:46Z
taxi,2022-12-26,9711,2025-11-04T23:07:54Z
taxi,2022-12-27,13373,2025-11-04T23:10:08Z
taxi,2022-12-28,14012,2025-11-04T23:12:12Z
taxi,2022-12-29,14015,2025-11-04T23:13:57Z
taxi,2022-12-30,14743,2025-11-04T23:16:03Z
taxi,2022-12-31,24445,2025-11-04T23:18:37Z
tnp,2022-10-01,278737,2025-11-04T23:22:34Z
tnp,2022-10-02,205085,2025-11-04T23:25:19Z
tnp,2022-10-03,157212,2025-11-04T23:27:22Z
tnp,2022-10-04,159518,2025-11-04T23:30:00Z
tnp,2022-10-05,172465,2025-11-04T23:34:03Z
