date,taxi_rows,timestamp
2024-01-01,9511,2025-11-05T08:50:44Z [SKIPPED]
2024-01-02,12807,2025-11-05T08:52:21Z
2024-01-03,13449,2025-11-05T08:54:27Z
2024-01-04,13825,2025-11-05T08:56:03Z
2024-01-05,12953,2025-11-05T08:57:35Z
2024-01-06,9290,2025-11-05T08:59:06Z
2024-01-07,8786,2025-11-05T09:01:04Z
2024-01-08,13656,2025-11-05T09:02:58Z
2024-01-09,14375,2025-11-05T09:04:48Z
2024-01-10,15488,2025-11-05T09:06:31Z
2024-01-11,16748,2025-11-05T09:08:22Z
2024-01-12,10605,2025-11-05T09:09:54Z
2024-01-13,9676,2025-11-05T09:11:42Z
2024-01-14,8536,2025-11-05T09:13:32Z
2024-01-15,11055,2025-11-05T09:15:17Z
2024-01-16,13859,2025-11-05T09:16:53Z
2024-01-17,16624,2025-11-05T09:18:59Z
2024-01-18,16777,2025-11-05T09:21:18Z
2024-01-19,16202,2025-11-05T09:22:38Z
2024-01-20,11817,2025-11-05T09:24:14Z
2024-01-21,13160,2025-11-05T09:25:50Z
2024-01-22,18784,2025-11-05T09:27:33Z
2024-01-23,18765,2025-11-05T09:28:56Z
2024-01-24,18858,2025-11-05T09:30:29Z
2024-01-25,18267,2025-11-05T09:32:11Z
2024-01-26,16298,2025-11-05T09:34:02Z
2024-01-27,9992,2025-11-05T09:35:56Z
2024-01-28,9290,2025-11-05T09:38:22Z
2024-01-29,14384,2025-11-05T09:39:40Z
2024-01-30,15251,2025-11-05T09:41:18Z
2024-01-31,16115,2025-11-05T09:43:01Z
2024-02-01,17373,2025-11-05T09:44:30Z
2024-02-02,15164,2025-11-05T09:46:04Z
2024-02-03,10457,2025-11-05T09:48:01Z
2024-02-04,9736,2025-11-05T09:49:56Z
2024-02-05,15267,2025-11-05T09:51:38Z
2024-02-06,16167,2025-11-05T09:53:00Z
2024-02-07,16006,2025-11-05T09:54:49Z
2024-02-08,17087,2025-11-05T09:56:31Z
2024-02-09,14921,2025-11-05T09:58:18Z
2024-02-10,10099,2025-11-05T09:59:46Z
2024-02-11,9712,2025-11-05T10:01:38Z
2024-02-12,14663,2025-11-05T10:03:06Z
2024-02-13,16320,2025-11-05T10:05:00Z
2024-02-14,17832,2025-11-05T10:07:03Z
2024-02-15,17791,2025-11-05T10:08:38Z
2024-02-16,15766,2025-11-05T10:10:25Z
2024-02-17,11914,2025-11-05T10:11:55Z
2024-02-18,10289,2025-11-05T10:14:08Z
2024-02-19,13147,2025-11-05T10:16:01Z
2024-02-20,16452,2025-11-05T10:18:06Z
2024-02-21,18696,2025-11-05T10:19:30Z
2024-02-22,20290,2025-11-05T10:21:17Z
2024-02-23,19580,2025-11-05T10:22:37Z
2024-02-24,13735,2025-11-05T10:23:59Z
2024-02-25,11716,2025-11-05T10:25:47Z
2024-02-26,15523,2025-11-05T10:27:25Z
2024-02-27,16546,2025-11-05T10:29:03Z
2024-02-28,18830,2025-11-05T10:31:12Z
2024-02-29,18934,2025-11-05T10:33:20Z
2024-03-01,16796,2025-11-05T10:35:25Z
2024-03-02,11394,2025-11-05T10:37:13Z
2024-03-03,11063,2025-11-05T10:38:39Z
2024-03-04,15761,2025-11-05T10:40:10Z
2024-03-05,18639,2025-11-05T10:42:04Z
2024-03-06,18852,2025-11-05T10:44:06Z
2024-03-07,18979,2025-11-05T10:45:35Z
2024-03-08,18954,2025-11-05T10:51:54Z
2024-03-09,12148,2025-11-05T10:54:00Z
2024-03-10,11176,2025-11-05T10:55:43Z
2024-03-11,16595,2025-11-05T10:57:24Z
2024-03-12,17731,2025-11-05T10:59:30Z
2024-03-13,19505,2025-11-05T11:01:07Z
2024-03-14,20877,2025-11-05T11:02:33Z
2024-03-15,20723,2025-11-05T11:04:03Z
2024-03-16,18351,2025-11-05T11:06:12Z
2024-03-17,15046,2025-11-05T11:08:22Z
2024-03-18,20819,2025-11-05T11:10:05Z
2024-03-19,20905,2025-11-05T11:11:47Z
2024-03-20,20585,2025-11-05T11:13:35Z
2024-03-21,20577,2025-11-05T11:14:55Z
2024-03-22,18575,2025-11-05T11:16:59Z
2024-03-23,12746,2025-11-05T11:19:02Z
2024-03-24,13342,2025-11-05T11:20:58Z
2024-03-25,16300,2025-11-05T11:23:04Z
2024-03-26,17754,2025-11-05T11:25:17Z
2024-03-27,18895,2025-11-05T11:27:12Z
2024-03-28,19266,2025-11-05T11:28:50Z
2024-03-29,16975,2025-11-05T11:30:37Z
2024-03-30,12579,2025-11-05T11:32:41Z
2024-03-31,12226,2025-11-05T11:34:51Z
